Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Reduce,MPI_Alltoall,MPI_Wait,MPI_Send,MPI_Irecv,MPI_Reduce_scatter,MPI_Allreduce,MPI_Bcast,MPI_Cart_rank,MPI_Comm_free,MPI_Cart_shift,MPI_Sendrecv,MPI_Cart_create,MPI_Comm_size,MPI_Comm_rank,MPI_Cart_get,MPI_Alltoallv,MPI_Finalize,MPI_Comm_dup,MPI_Barrier,MPI_Waitany,MPI_Scan,MPI_Init,MPI_Allgather,Processes,Size
in.eam,90.76,71.25,81.65,18.89,21.17,0.98,59.53,0.67,0.0,20.4,0.3,0.02,0.0,3.0,1.38,0.0,0.0,0.0,0.96,0.04,0.0,0.0,0.0,0.0,0.23,0.0,0.44,0.0,0.01,72.55,0.0,32.0,256.0
in.eam,97.16,86.25,92.7,7.63,8.65,0.12,166.95,0.0,0.0,8.68,0.18,0.01,0.0,0.76,0.76,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.77,0.0,0.01,0.0,0.01,88.75,0.0,64.0,256.0
in.eam,0.19,0.19,0.19,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.0,0.0,1.22,0.96,0.01,0.02,0.01,0.0,0.2,0.0,0.0,0.01,0.0,8.56,0.0,0.06,0.0,0.02,88.91,0.0,1.0,864.0
in.eam,51.22,1.76,26.67,24.25,48.12,0.03,19.4,0.0,0.0,88.54,0.68,0.01,0.0,1.31,0.03,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.01,0.0,0.0,6.74,0.0,2.0,864.0
in.eam,51.25,3.37,39.07,34.98,47.18,0.21,28.36,0.0,0.0,71.25,17.0,0.02,0.0,1.97,0.4,0.0,0.0,0.0,2.66,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,6.45,0.0,4.0,864.0
in.eam,53.76,8.81,46.34,36.85,43.42,0.2,35.53,0.27,0.0,78.09,0.69,0.03,0.0,3.76,0.35,0.0,0.0,0.0,2.16,0.01,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,14.57,0.0,8.0,864.0
in.eam,60.78,22.7,53.57,36.11,41.54,1.75,48.01,0.0,0.0,65.26,0.96,0.04,0.0,6.95,0.57,0.0,0.0,0.0,1.72,0.02,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,24.41,0.0,16.0,864.0
in.eam,77.77,43.71,64.49,29.87,36.35,2.38,81.82,0.44,0.0,44.19,0.48,0.04,0.0,6.84,0.89,0.0,0.0,0.0,0.45,0.01,0.0,0.0,0.0,0.0,0.68,0.0,0.01,0.0,0.01,45.97,0.0,32.0,864.0
in.eam,90.8,67.11,81.82,18.96,20.97,0.98,206.02,0.0,0.0,22.67,0.25,0.02,0.0,3.47,0.56,0.0,0.0,0.0,0.37,0.02,0.0,0.0,0.0,0.0,0.23,0.0,0.48,0.0,0.01,71.93,0.0,64.0,864.0
in.eam,4.28,4.28,4.28,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.22,0.01,0.04,0.01,0.0,0.3,0.0,0.01,0.01,0.0,0.0,0.0,0.06,0.0,0.03,99.23,0.0,1.0,2048.0
in.eam,74.68,32.94,59.41,8.07,12.53,0.35,1.4,0.0,0.0,0.18,0.17,0.0,0.0,8.73,2.03,0.0,0.0,0.0,4.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,84.74,0.0,2.0,2048.0
in.eam,50.19,1.38,37.94,36.29,48.6,0.04,64.37,0.0,0.0,74.12,18.99,0.02,0.0,1.33,0.18,0.0,0.0,0.0,3.31,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,2.02,0.0,4.0,2048.0
in.eam,52.45,3.81,44.83,40.8,47.23,0.08,78.01,0.0,0.0,88.43,0.58,0.02,0.0,2.03,0.16,0.0,0.0,0.0,3.55,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,5.19,0.0,8.0,2048.0
in.eam,54.96,10.64,48.69,39.19,43.35,0.18,91.33,0.0,0.0,76.29,1.76,0.05,0.0,6.37,0.34,0.0,0.0,0.0,2.18,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,12.96,0.0,16.0,2048.0
in.eam,67.64,23.35,56.96,35.16,40.55,0.82,132.61,0.0,0.0,59.13,0.82,0.05,0.0,6.9,1.04,0.0,0.0,0.0,1.17,0.02,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,30.77,0.0,32.0,2048.0
in.eam,82.75,43.05,71.06,27.83,31.28,1.8,267.41,0.0,0.0,40.23,0.38,0.03,0.0,3.72,0.57,0.0,0.0,0.0,1.16,0.02,0.0,0.0,0.0,0.0,0.51,0.0,0.02,0.0,0.0,53.35,0.0,64.0,2048.0
in.lj,7.98,7.98,7.98,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.13,0.2,0.01,0.02,0.01,0.0,0.2,0.0,0.0,0.01,0.0,2.89,0.0,0.03,0.0,0.03,96.45,0.0,1.0,32.0
in.lj,64.59,64.26,64.39,11.8,29.12,0.57,1.6,0.0,0.0,20.8,3.32,0.01,0.0,0.39,0.7,0.0,0.0,0.0,1.11,0.02,0.0,0.0,0.0,0.0,4.11,0.0,0.04,0.0,0.0,69.5,0.0,2.0,32.0
in.lj,84.66,55.38,72.18,18.24,29.0,2.45,2.13,0.0,0.0,27.59,0.59,0.02,0.0,0.45,1.96,0.0,0.0,0.0,2.33,0.04,0.0,0.0,0.0,0.0,1.05,0.0,0.01,0.0,0.01,65.96,0.0,4.0,32.0
in.lj,93.79,79.96,88.35,9.6,13.59,0.98,6.15,0.0,0.0,9.12,0.57,0.02,0.0,1.23,2.37,0.0,0.0,0.0,0.65,0.03,0.0,0.0,0.0,0.0,2.25,0.0,0.01,0.0,0.01,83.73,0.0,8.0,32.0
in.lj,97.74,95.61,96.15,5.07,6.78,0.44,20.39,0.0,0.0,5.23,0.22,0.01,0.0,0.1,1.41,0.0,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.21,0.0,0.01,0.0,0.01,92.72,0.0,16.0,32.0
in.lj,99.36,96.6,98.27,3.47,4.31,0.67,54.56,0.0,0.0,2.46,0.2,0.01,0.0,0.06,1.39,0.0,0.0,0.0,0.55,0.27,0.0,0.0,0.0,0.0,0.26,0.0,0.01,0.0,0.01,94.79,0.0,32.0,32.0
in.lj,99.73,97.66,99.16,1.74,2.47,0.04,152.21,0.0,0.0,1.02,0.09,0.01,0.0,0.62,0.72,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.32,0.0,0.01,0.0,0.01,97.14,0.0,64.0,32.0
in.lj,1.51,1.51,1.51,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.95,0.18,0.0,0.02,0.01,0.0,0.21,0.0,0.01,0.01,0.0,8.7,0.0,0.79,0.0,0.02,89.09,0.0,1.0,256.0
in.lj,60.11,9.43,36.54,20.87,38.83,0.21,3.58,0.0,0.0,56.25,1.33,0.01,0.0,1.37,0.1,0.0,0.0,0.0,2.27,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.0,0.0,38.58,0.0,2.0,256.0
in.lj,61.29,35.1,51.56,28.37,39.45,3.55,5.98,0.01,0.0,57.61,8.33,0.02,0.0,1.92,0.83,0.0,0.0,0.0,0.45,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.01,0.0,0.0,30.7,0.0,4.0,256.0
in.lj,74.96,38.06,63.24,26.06,32.76,2.78,9.9,0.0,0.0,42.83,0.88,0.02,0.0,0.39,2.17,0.0,0.0,0.0,0.34,0.01,0.0,0.0,0.0,0.0,0.16,0.0,0.01,0.0,0.0,53.17,0.0,8.0,256.0
in.lj,82.05,80.32,80.99,17.47,20.88,0.34,23.85,0.0,0.0,20.27,0.45,0.02,0.0,1.74,2.62,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.18,0.0,0.01,0.0,0.01,74.63,0.0,16.0,256.0
in.lj,95.92,84.5,91.39,9.54,10.86,0.6,61.14,0.0,0.0,9.28,0.24,0.01,0.0,0.82,1.65,0.0,0.0,0.0,0.4,0.03,0.0,0.0,0.0,0.0,0.23,0.0,0.01,0.0,0.01,87.32,0.0,32.0,256.0
in.lj,98.68,93.98,96.57,4.32,5.0,0.09,159.4,0.01,0.0,4.44,0.16,0.01,0.0,0.46,0.78,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.0,0.0,0.32,0.0,0.01,0.0,0.01,93.73,0.0,64.0,256.0
in.lj,0.45,0.45,0.45,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.92,0.16,0.0,0.03,0.01,0.0,0.2,0.0,0.01,0.01,0.0,8.35,0.0,0.77,0.0,0.02,89.51,0.0,1.0,864.0
in.lj,49.81,6.63,27.81,22.85,46.54,0.05,8.53,0.0,0.0,81.68,0.45,0.01,0.0,0.82,0.06,0.0,0.0,0.0,2.06,0.01,0.0,0.0,0.0,0.0,0.15,0.0,0.19,0.0,0.0,14.57,0.0,2.0,864.0
in.lj,53.29,6.02,39.73,32.39,43.92,0.11,12.59,0.0,0.0,56.16,25.89,0.03,0.0,1.06,0.77,0.0,0.0,0.0,2.72,0.01,0.0,0.0,0.0,0.0,0.16,0.0,0.01,0.0,0.0,13.19,0.0,4.0,864.0
in.lj,53.4,29.1,49.23,31.43,37.86,0.24,17.87,0.0,0.0,65.02,1.3,0.04,0.0,0.58,1.12,0.0,0.0,0.0,2.93,0.01,0.0,0.0,0.0,0.0,0.08,0.0,0.01,0.0,0.01,28.91,0.0,8.0,864.0
in.lj,70.39,33.45,58.51,29.54,34.65,2.55,27.64,0.0,0.0,52.65,0.91,0.06,0.0,1.88,1.13,0.0,0.0,0.0,1.54,0.03,0.0,0.0,0.0,0.0,0.14,0.0,0.01,0.0,0.0,41.65,0.0,16.0,864.0
in.lj,87.65,61.63,78.51,18.82,22.36,1.49,75.67,0.0,0.0,23.66,0.44,0.03,0.0,0.58,2.04,0.0,0.0,0.0,1.19,0.03,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.0,0.01,71.82,0.0,32.0,864.0
in.lj,95.6,80.24,89.45,11.19,12.48,0.32,176.09,0.0,0.0,12.86,0.25,0.02,0.0,1.31,0.64,0.0,0.0,0.0,0.38,0.03,0.0,0.0,0.0,0.0,0.29,0.0,0.01,0.0,0.01,84.21,0.0,64.0,864.0
in.lj,3.6,3.6,3.6,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.21,0.01,0.04,0.01,0.0,0.26,0.0,0.01,0.01,0.0,0.0,0.0,0.05,0.0,0.03,99.29,0.0,1.0,2048.0
in.lj,64.39,54.87,61.04,9.56,23.71,1.9,1.46,0.0,0.0,1.22,0.16,0.0,0.0,9.95,0.74,0.0,0.0,0.0,5.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,82.8,0.0,2.0,2048.0
in.lj,50.46,6.03,38.79,35.11,47.29,0.04,28.7,0.0,0.0,57.37,32.2,0.03,0.0,0.69,0.17,0.0,0.0,0.0,2.96,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.16,0.0,0.0,6.36,0.0,4.0,2048.0
in.lj,55.76,8.01,46.52,37.6,43.67,0.11,37.1,0.0,0.0,79.91,1.74,0.04,0.0,0.82,0.58,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.0,0.0,14.44,0.0,8.0,2048.0
in.lj,54.14,30.68,49.96,33.87,38.99,0.36,44.83,0.0,0.0,66.98,3.4,0.09,0.0,2.26,0.66,0.0,0.0,0.0,2.25,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.01,0.0,0.0,24.24,0.0,16.0,2048.0
in.lj,76.09,38.2,63.5,28.79,35.4,2.37,83.89,0.0,0.0,46.87,0.95,0.06,0.0,1.38,0.99,0.0,0.0,0.0,1.97,0.03,0.0,0.0,0.0,0.0,0.16,0.0,0.5,0.0,0.0,47.08,0.0,32.0,2048.0
in.lj,89.77,64.71,79.96,19.29,21.98,1.31,211.71,0.0,0.0,25.94,0.39,0.03,0.0,1.02,0.58,0.0,0.0,0.0,1.05,0.02,0.0,0.0,0.0,0.0,0.64,0.0,0.01,0.0,0.01,70.31,0.0,64.0,2048.0
in.rhodo,0.27,0.27,0.27,0.0,0.0,0.0,0.11,0.02,0.03,0.0,0.0,0.0,0.0,3.9,0.24,0.0,1.51,0.0,0.0,0.13,0.0,0.01,0.0,1.29,5.07,0.26,0.51,0.0,0.0,87.0,0.01,1.0,32.0
in.rhodo,50.71,3.97,27.15,23.97,48.22,0.12,21.44,0.0,0.08,71.56,0.77,0.02,0.0,16.61,1.27,0.0,0.0,0.0,1.82,0.02,0.0,0.0,0.0,0.0,0.07,0.01,0.08,1.61,0.0,6.08,0.0,2.0,32.0
in.rhodo,51.53,11.09,40.89,35.23,48.08,0.42,34.02,0.0,0.09,69.43,1.48,0.08,0.0,16.19,2.79,0.0,0.0,0.0,1.75,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,4.06,0.0,4.09,0.0,4.0,32.0
in.rhodo,56.56,15.2,49.82,39.9,47.0,2.08,47.46,0.0,0.01,59.1,1.16,0.06,0.0,21.42,3.72,0.0,0.0,0.0,1.38,0.02,0.0,0.0,0.0,0.01,0.06,0.02,0.0,3.37,0.0,9.65,0.01,8.0,32.0
in.rhodo,65.57,36.32,58.61,41.52,46.46,3.09,70.3,0.0,0.01,35.96,1.33,0.12,0.0,17.39,5.73,0.0,0.0,0.0,1.47,0.02,0.0,0.0,0.0,0.06,0.07,0.03,0.0,22.66,0.0,15.13,0.01,16.0,32.0
in.rhodo,76.98,50.73,69.56,38.03,43.64,3.21,133.86,0.0,0.32,20.63,1.32,0.12,0.0,20.0,7.79,0.0,0.0,0.0,0.12,0.05,0.0,0.0,0.0,0.11,0.1,0.04,0.0,17.26,0.0,31.96,0.19,32.0,32.0
in.rhodo,88.4,60.89,79.44,28.18,30.43,2.21,271.05,0.0,0.12,13.35,1.25,0.15,0.0,12.43,3.53,0.0,0.0,0.0,0.31,0.02,0.0,0.0,0.0,0.89,0.17,0.04,0.01,14.31,0.0,53.14,0.27,64.0,32.0
in.rhodo,0.13,0.13,0.13,0.0,0.0,0.0,0.07,0.03,0.07,0.0,0.0,0.0,0.0,2.92,1.1,0.0,1.61,0.01,0.0,0.27,0.0,0.01,0.01,3.79,7.75,0.86,0.08,0.0,0.0,81.46,0.03,1.0,256.0
in.rhodo,50.9,1.57,26.38,24.42,48.5,0.05,28.71,0.0,0.14,72.03,0.8,0.01,0.0,17.6,1.12,0.0,0.0,0.0,2.0,0.05,0.0,0.0,0.0,0.12,0.05,0.0,0.1,1.65,0.0,4.35,0.0,2.0,256.0
in.rhodo,51.5,3.14,38.9,36.29,49.23,0.4,43.91,0.0,0.31,67.33,2.44,0.01,0.0,18.97,2.3,0.0,0.0,0.0,2.08,0.01,0.0,0.0,0.0,0.01,0.04,0.01,0.01,2.39,0.0,4.09,0.0,4.0,256.0
in.rhodo,53.58,7.6,45.93,40.0,46.38,0.52,55.08,0.0,0.02,63.83,0.81,0.02,0.0,19.1,3.74,0.0,0.0,0.0,1.95,0.01,0.0,0.0,0.0,0.21,0.02,0.02,0.2,2.13,0.0,7.95,0.0,8.0,256.0
in.rhodo,59.32,16.17,50.93,37.66,43.7,1.21,69.76,0.0,0.28,40.12,1.06,0.03,0.0,16.7,6.92,0.0,0.0,0.0,1.88,0.05,0.0,0.0,0.0,0.06,0.07,0.03,0.01,14.63,0.0,18.14,0.01,16.0,256.0
in.rhodo,71.71,34.03,60.04,33.49,39.03,2.08,111.62,0.0,0.14,26.14,1.16,0.04,0.0,8.61,10.22,0.0,0.0,0.0,0.83,0.07,0.0,0.0,0.0,0.51,0.11,0.04,0.45,17.81,0.0,33.5,0.37,32.0,256.0
in.rhodo,85.5,57.35,75.36,26.72,29.76,2.46,260.62,0.0,0.4,12.71,0.71,0.04,0.0,7.62,4.23,0.0,0.0,0.0,1.28,0.03,0.0,0.0,0.0,0.99,0.19,0.04,0.02,14.69,0.0,57.03,0.01,64.0,256.0
in.rhodo,0.04,0.04,0.04,0.0,0.0,0.0,0.08,0.04,0.09,0.0,0.0,0.0,0.0,3.44,1.04,0.0,2.1,0.01,0.0,0.25,0.0,0.01,0.01,7.0,7.66,1.19,0.05,0.0,0.0,77.08,0.03,1.0,864.0
in.rhodo,50.2,0.94,25.53,24.69,49.46,0.02,93.75,0.0,0.15,73.81,0.52,0.0,0.0,19.25,0.29,0.0,0.0,0.0,2.65,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.11,1.74,0.0,1.43,0.0,2.0,864.0
in.rhodo,50.83,1.49,38.22,37.03,50.33,0.05,142.8,0.0,0.19,70.63,3.71,0.02,0.0,19.41,0.74,0.0,0.0,0.0,2.75,0.03,0.0,0.0,0.0,0.01,0.01,0.0,0.05,1.27,0.0,1.19,0.0,4.0,864.0
in.rhodo,51.53,3.77,44.84,41.88,48.39,0.26,171.23,0.0,0.3,67.73,3.15,0.02,0.0,18.92,1.4,0.0,0.0,0.0,2.42,0.01,0.0,0.0,0.0,0.03,0.02,0.01,0.06,2.46,0.0,3.47,0.0,8.0,864.0
in.rhodo,53.08,7.25,48.48,43.33,47.83,0.48,195.72,0.0,0.14,50.21,2.22,0.03,0.0,18.93,2.64,0.0,0.0,0.0,1.41,0.01,0.0,0.0,0.0,0.15,0.15,0.01,0.12,18.27,0.0,5.7,0.0,16.0,864.0
in.rhodo,61.82,20.85,56.02,39.18,43.15,1.63,275.71,0.0,0.2,31.25,1.38,0.03,0.0,16.5,4.11,0.0,0.0,0.0,1.41,0.03,0.0,0.0,0.0,0.23,0.04,0.02,0.19,21.07,0.0,23.54,0.01,32.0,864.0
in.rhodo,73.87,30.88,63.19,35.05,37.22,1.46,419.44,0.0,0.11,19.85,1.19,0.04,0.0,20.06,2.36,0.0,0.0,0.0,0.97,0.02,0.0,0.0,0.0,0.7,0.3,0.02,0.25,18.37,0.0,35.73,0.01,64.0,864.0
in.rhodo,0.75,0.75,0.75,0.0,0.0,0.0,0.07,0.0,0.8,0.0,0.0,0.0,0.0,0.31,1.05,0.0,0.03,0.01,0.0,0.27,0.0,0.01,0.01,14.66,0.0,2.61,0.03,0.0,0.0,80.18,0.02,1.0,2048.0
in.rhodo,47.56,15.84,30.9,20.12,41.96,0.37,3.96,0.0,8.81,9.23,0.14,0.0,0.0,12.73,8.89,0.0,0.0,0.0,25.5,1.27,0.0,0.0,0.0,0.17,0.0,0.03,2.69,0.0,0.0,30.19,0.35,2.0,2048.0
in.rhodo,50.74,1.22,38.33,37.43,50.21,0.03,338.06,0.0,0.17,70.47,5.46,0.0,0.0,19.35,0.33,0.0,0.0,0.0,3.25,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.1,0.21,0.0,0.6,0.0,4.0,2048.0
in.rhodo,50.76,2.16,44.4,42.67,49.09,0.07,396.81,0.0,0.23,69.8,4.02,0.02,0.0,19.77,0.62,0.0,0.0,0.0,2.78,0.02,0.0,0.0,0.0,0.02,0.01,0.0,0.08,1.33,0.0,1.29,0.0,8.0,2048.0
in.rhodo,51.46,3.57,47.5,44.78,48.86,0.21,434.99,0.0,0.15,51.17,3.56,0.02,0.0,20.01,1.16,0.0,0.0,0.0,1.96,0.01,0.0,0.0,0.0,0.11,0.01,0.0,0.07,19.23,0.0,2.54,0.0,16.0,2048.0
in.rhodo,55.23,8.28,51.1,44.48,47.28,0.6,517.25,0.0,0.04,36.7,2.25,0.03,0.0,20.15,2.3,0.0,0.0,0.0,0.94,0.01,0.0,0.0,0.0,0.25,0.03,0.01,0.14,28.51,0.0,8.56,0.08,32.0,2048.0
in.rhodo,63.3,17.66,55.2,40.2,42.13,1.14,704.93,0.0,0.11,25.69,1.42,0.04,0.0,20.14,1.21,0.0,0.0,0.0,0.36,0.01,0.0,0.0,0.0,0.8,0.07,0.01,0.03,29.76,0.0,20.35,0.0,64.0,2048.0
