Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Irecv,MPI_Bcast,MPI_Reduce,MPI_Cart_get,MPI_Scan,MPI_Finalize,MPI_Wait,MPI_Comm_free,MPI_Init,MPI_Barrier,MPI_Allreduce,MPI_Cart_create,MPI_Type_size,MPI_Comm_size,MPI_Send,MPI_Sendrecv,MPI_Cart_shift,MPI_Comm_rank,MPI_Cart_rank,Processes,Size
in.lj,64.59,64.26,64.39,11.8,29.12,0.57,1.6,0.01,0.7,0.0,0.0,0.0,4.11,20.8,0.0,69.5,0.04,0.39,0.02,0.0,0.0,3.32,1.11,0.0,0.0,0.0,2.0,32.0
in.lj,84.66,55.38,72.18,18.24,29.0,2.45,2.13,0.02,1.96,0.0,0.0,0.01,1.05,27.59,0.0,65.96,0.01,0.45,0.04,0.0,0.0,0.59,2.33,0.0,0.0,0.0,4.0,32.0
in.lj,93.79,79.96,88.35,9.6,13.59,0.98,6.15,0.02,2.37,0.0,0.0,0.01,2.25,9.12,0.0,83.73,0.01,1.23,0.03,0.0,0.0,0.57,0.65,0.0,0.0,0.0,8.0,32.0
in.lj,97.74,95.61,96.15,5.07,6.78,0.44,20.39,0.01,1.41,0.0,0.0,0.01,0.21,5.23,0.0,92.72,0.01,0.1,0.05,0.0,0.0,0.22,0.03,0.0,0.0,0.0,16.0,32.0
in.lj,99.36,96.6,98.27,3.47,4.31,0.67,54.56,0.01,1.39,0.0,0.0,0.01,0.26,2.46,0.0,94.79,0.01,0.06,0.27,0.0,0.0,0.2,0.55,0.0,0.0,0.0,32.0,32.0
in.lj,99.73,97.66,99.16,1.74,2.47,0.04,152.21,0.01,0.72,0.0,0.0,0.01,0.32,1.02,0.0,97.14,0.01,0.62,0.04,0.0,0.0,0.09,0.03,0.0,0.0,0.0,64.0,32.0
in.lj,60.11,9.43,36.54,20.87,38.83,0.21,3.58,0.01,0.1,0.0,0.0,0.0,0.05,56.25,0.0,38.58,0.02,1.37,0.01,0.0,0.0,1.33,2.27,0.0,0.0,0.0,2.0,256.0
in.lj,61.29,35.1,51.56,28.37,39.45,3.55,5.98,0.02,0.83,0.01,0.0,0.0,0.1,57.61,0.0,30.7,0.01,1.92,0.02,0.0,0.0,8.33,0.45,0.0,0.0,0.0,4.0,256.0
in.lj,74.96,38.06,63.24,26.06,32.76,2.78,9.9,0.02,2.17,0.0,0.0,0.0,0.16,42.83,0.0,53.17,0.01,0.39,0.01,0.0,0.0,0.88,0.34,0.0,0.0,0.0,8.0,256.0
in.lj,82.05,80.32,80.99,17.47,20.88,0.34,23.85,0.02,2.62,0.0,0.0,0.01,0.18,20.27,0.0,74.63,0.01,1.74,0.04,0.0,0.0,0.45,0.04,0.0,0.0,0.0,16.0,256.0
in.lj,95.92,84.5,91.39,9.54,10.86,0.6,61.14,0.01,1.65,0.0,0.0,0.01,0.23,9.28,0.0,87.32,0.01,0.82,0.03,0.0,0.0,0.24,0.4,0.0,0.0,0.0,32.0,256.0
in.lj,98.68,93.98,96.57,4.32,5.0,0.09,159.4,0.01,0.78,0.01,0.0,0.01,0.32,4.44,0.0,93.73,0.01,0.46,0.03,0.0,0.0,0.16,0.05,0.0,0.0,0.0,64.0,256.0
in.lj,49.81,6.63,27.81,22.85,46.54,0.05,8.53,0.01,0.06,0.0,0.0,0.0,0.15,81.68,0.0,14.57,0.19,0.82,0.01,0.0,0.0,0.45,2.06,0.0,0.0,0.0,2.0,864.0
in.lj,53.29,6.02,39.73,32.39,43.92,0.11,12.59,0.03,0.77,0.0,0.0,0.0,0.16,56.16,0.0,13.19,0.01,1.06,0.01,0.0,0.0,25.89,2.72,0.0,0.0,0.0,4.0,864.0
in.lj,53.4,29.1,49.23,31.43,37.86,0.24,17.87,0.04,1.12,0.0,0.0,0.01,0.08,65.02,0.0,28.91,0.01,0.58,0.01,0.0,0.0,1.3,2.93,0.0,0.0,0.0,8.0,864.0
in.lj,70.39,33.45,58.51,29.54,34.65,2.55,27.64,0.06,1.13,0.0,0.0,0.0,0.14,52.65,0.0,41.65,0.01,1.88,0.03,0.0,0.0,0.91,1.54,0.0,0.0,0.0,16.0,864.0
in.lj,87.65,61.63,78.51,18.82,22.36,1.49,75.67,0.03,2.04,0.0,0.0,0.01,0.2,23.66,0.0,71.82,0.01,0.58,0.03,0.0,0.0,0.44,1.19,0.0,0.0,0.0,32.0,864.0
in.lj,95.6,80.24,89.45,11.19,12.48,0.32,176.09,0.02,0.64,0.0,0.0,0.01,0.29,12.86,0.0,84.21,0.01,1.31,0.03,0.0,0.0,0.25,0.38,0.0,0.0,0.0,64.0,864.0
in.lj,64.39,54.87,61.04,9.56,23.71,1.9,1.46,0.0,0.74,0.0,0.0,0.0,0.0,1.22,0.0,82.8,0.04,9.95,0.03,0.0,0.0,0.16,5.05,0.0,0.0,0.0,2.0,2048.0
in.lj,50.46,6.03,38.79,35.11,47.29,0.04,28.7,0.03,0.17,0.0,0.0,0.0,0.06,57.37,0.0,6.36,0.16,0.69,0.0,0.0,0.0,32.2,2.96,0.0,0.0,0.0,4.0,2048.0
in.lj,55.76,8.01,46.52,37.6,43.67,0.11,37.1,0.04,0.58,0.0,0.0,0.0,0.07,79.91,0.0,14.44,0.01,0.82,0.0,0.0,0.0,1.74,2.38,0.0,0.0,0.0,8.0,2048.0
in.lj,54.14,30.68,49.96,33.87,38.99,0.36,44.83,0.09,0.66,0.0,0.0,0.0,0.08,66.98,0.0,24.24,0.01,2.26,0.02,0.0,0.0,3.4,2.25,0.0,0.0,0.0,16.0,2048.0
in.lj,76.09,38.2,63.5,28.79,35.4,2.37,83.89,0.06,0.99,0.0,0.0,0.0,0.16,46.87,0.0,47.08,0.5,1.38,0.03,0.0,0.0,0.95,1.97,0.0,0.0,0.0,32.0,2048.0
in.lj,89.77,64.71,79.96,19.29,21.98,1.31,211.71,0.03,0.58,0.0,0.0,0.01,0.64,25.94,0.0,70.31,0.01,1.02,0.02,0.0,0.0,0.39,1.05,0.0,0.0,0.0,64.0,2048.0
in.lj-double,83.58,48.67,68.81,18.53,22.11,15.9,2.34,0.01,1.92,0.0,0.0,0.0,1.22,36.36,0.0,45.2,0.02,1.71,0.01,0.0,0.0,13.54,0.01,0.0,0.0,0.0,2.0,32.0
in.lj-double,93.59,83.33,90.64,55.55,81.83,36.35,8.72,0.01,0.21,0.0,0.0,0.0,0.34,79.43,0.0,13.81,0.0,0.76,0.01,0.0,0.0,0.5,4.92,0.0,0.0,0.0,4.0,32.0
in.lj-double,98.12,94.65,97.04,71.35,85.7,40.17,27.14,0.01,0.44,1.44,0.0,0.0,0.6,76.91,0.0,12.4,0.95,6.23,0.01,0.0,0.0,0.07,0.96,0.0,0.0,0.0,8.0,32.0
in.lj-double,98.48,96.07,97.49,58.67,66.27,28.25,34.45,0.01,0.98,0.0,0.0,0.0,2.05,65.06,0.0,29.69,0.0,0.06,0.02,0.0,0.0,0.17,1.95,0.0,0.0,0.0,16.0,32.0
in.lj-double,99.04,96.91,98.01,17.58,20.63,7.26,47.37,0.01,1.33,0.0,0.0,0.01,0.33,17.96,0.0,78.71,0.01,0.09,0.02,0.0,0.0,0.17,1.36,0.0,0.0,0.0,32.0,32.0
in.lj-double,99.74,97.82,99.34,26.21,28.57,10.89,205.5,0.0,0.94,0.0,0.0,0.01,0.31,22.16,0.0,70.93,0.55,3.21,0.34,0.0,0.0,0.07,1.47,0.0,0.0,0.0,64.0,32.0
in.lj-double,56.7,33.59,45.57,20.26,25.95,14.14,6.96,0.0,6.15,0.0,0.0,0.46,0.21,43.18,0.0,16.49,0.47,13.86,0.0,0.0,0.0,16.73,2.45,0.0,0.0,0.0,2.0,256.0
in.lj-double,70.41,47.57,61.04,38.47,61.96,15.65,9.58,0.02,1.31,0.0,0.0,0.0,0.06,69.44,0.0,12.89,0.01,0.52,0.01,0.0,0.0,14.93,0.82,0.0,0.0,0.0,4.0,256.0
in.lj-double,86.28,69.62,81.67,60.87,73.38,29.94,24.99,0.01,22.88,1.98,0.0,0.31,0.16,50.18,0.0,12.3,0.26,8.15,0.0,0.0,0.0,0.66,3.09,0.0,0.0,0.0,8.0,256.0
in.lj-double,92.47,75.75,88.9,58.72,66.55,28.55,44.86,0.02,4.54,0.4,0.0,0.32,0.12,56.14,0.0,23.6,1.14,8.81,1.3,0.0,0.0,0.19,3.41,0.0,0.0,0.0,16.0,256.0
in.lj-double,96.23,79.52,92.25,34.12,38.44,13.66,66.5,0.01,4.5,0.55,0.0,0.01,0.97,29.51,0.0,55.44,0.01,7.06,0.03,0.0,0.0,0.24,1.69,0.0,0.0,0.0,32.0,256.0
in.lj-double,98.85,93.0,97.12,15.94,17.38,6.34,181.7,0.01,1.75,0.02,0.0,0.01,0.67,8.8,0.0,80.45,0.01,6.23,0.53,0.0,0.0,0.12,1.4,0.0,0.0,0.0,64.0,256.0
in.lj-double,16.28,15.48,15.88,5.93,6.21,5.65,5.11,0.01,0.77,0.0,0.0,0.0,0.57,49.85,0.0,22.98,0.01,4.81,0.0,0.0,0.0,16.49,4.51,0.0,0.0,0.0,2.0,864.0
in.lj-double,56.81,18.69,38.01,27.72,50.22,6.23,12.79,0.03,1.04,0.0,0.0,0.0,0.04,32.92,0.0,9.36,0.01,7.47,0.0,0.0,0.0,46.12,3.01,0.0,0.0,0.0,4.0,864.0
in.lj-double,63.03,24.76,50.58,36.17,48.07,6.63,19.58,0.04,0.55,0.0,0.0,0.01,0.13,75.39,0.0,15.73,0.01,1.25,0.01,0.0,0.0,4.96,1.93,0.0,0.0,0.0,8.0,864.0
in.lj-double,75.79,47.82,71.26,48.49,55.95,12.66,48.03,0.05,0.55,0.0,0.0,0.0,0.23,70.52,0.0,21.27,0.57,1.62,0.02,0.0,0.0,2.94,2.23,0.0,0.0,0.0,16.0,864.0
in.lj-double,91.49,73.68,86.31,52.64,58.38,23.1,120.63,0.03,7.46,0.89,0.0,0.0,0.53,48.39,0.0,30.98,1.64,5.42,1.21,0.0,0.0,0.24,3.21,0.0,0.0,0.0,32.0,864.0
in.lj-double,95.42,80.66,91.66,25.75,27.9,9.45,222.51,0.02,1.35,0.0,0.0,0.0,0.65,26.45,0.0,66.05,0.24,2.6,1.1,0.0,0.0,0.2,1.32,0.0,0.0,0.0,64.0,864.0
in.lj-double,67.98,34.24,55.78,10.68,14.79,3.42,1.41,0.0,3.06,0.0,0.0,0.0,0.0,0.37,0.0,87.5,0.02,7.43,0.01,0.0,0.0,0.16,1.45,0.0,0.0,0.0,2.0,2048.0
in.lj-double,56.09,10.81,33.99,28.67,52.98,4.5,26.62,0.03,0.98,0.0,0.0,0.0,0.08,16.21,0.0,4.8,0.2,2.77,0.0,0.0,0.0,70.92,4.0,0.0,0.0,0.0,4.0,2048.0
in.lj-double,60.12,14.53,45.71,37.84,50.34,3.76,38.17,0.04,0.8,0.0,0.0,0.0,0.11,81.72,0.0,8.92,0.5,1.19,0.01,0.0,0.0,3.53,3.19,0.0,0.0,0.0,8.0,2048.0
in.lj-double,68.42,33.33,60.66,45.57,53.43,10.71,68.29,0.08,1.54,0.0,0.0,0.0,0.21,70.98,0.0,15.29,0.48,4.69,0.01,0.0,0.0,4.25,2.46,0.0,0.0,0.0,16.0,2048.0
in.lj-double,81.59,56.66,72.5,43.23,50.46,10.39,119.49,0.06,0.49,0.69,0.0,0.0,0.28,53.67,0.0,31.22,0.57,7.72,0.01,0.0,0.0,0.93,4.35,0.0,0.0,0.0,32.0,2048.0
in.lj-double,90.51,70.59,82.78,28.02,31.68,7.92,249.65,0.03,0.81,0.0,0.0,0.0,0.69,30.27,0.0,58.92,0.16,5.85,0.93,0.0,0.0,0.32,2.02,0.0,0.0,0.0,64.0,2048.0
in.lj-single,84.6,51.2,71.53,17.34,20.83,15.1,2.63,0.01,7.01,0.0,0.0,0.0,0.95,25.81,0.0,50.92,0.01,2.44,0.01,0.0,0.0,9.23,3.61,0.0,0.0,0.0,2.0,32.0
in.lj-single,92.75,85.3,89.84,52.19,76.48,34.6,6.73,0.01,1.41,0.0,0.0,0.0,0.24,70.49,0.0,17.46,0.0,4.75,0.01,0.0,0.0,0.17,5.46,0.0,0.0,0.0,4.0,32.0
in.lj-single,96.31,87.74,94.04,59.67,74.17,32.82,13.17,0.01,8.37,0.0,0.0,0.0,0.1,55.84,0.0,24.27,0.0,4.47,0.01,0.0,0.0,0.14,6.78,0.0,0.0,0.0,8.0,32.0
in.lj-single,98.66,97.07,97.89,63.87,72.28,33.19,37.29,0.01,1.64,0.0,0.0,0.01,0.14,68.16,0.0,27.19,0.41,0.05,0.01,0.0,0.0,0.09,2.28,0.0,0.0,0.0,16.0,32.0
in.lj-single,99.38,98.18,98.78,46.59,51.52,21.26,75.15,0.01,1.64,0.0,0.0,0.0,0.22,47.01,0.0,48.56,0.0,0.05,0.03,0.0,0.0,0.12,2.36,0.0,0.0,0.0,32.0,32.0
in.lj-single,99.73,97.84,99.22,7.17,7.97,2.38,163.02,0.01,0.77,0.0,0.0,0.01,1.48,7.5,0.0,90.01,0.01,0.07,0.03,0.0,0.0,0.1,0.03,0.0,0.0,0.0,64.0,32.0
in.lj-single,26.92,23.77,25.42,6.14,6.65,5.67,2.64,0.01,1.71,0.0,0.0,0.0,0.07,32.09,0.0,41.28,0.02,0.02,0.01,0.0,0.0,18.35,6.45,0.0,0.0,0.0,2.0,256.0
in.lj-single,64.92,39.95,54.88,34.46,56.08,13.39,7.34,0.02,8.4,0.0,0.0,0.0,0.23,60.65,0.0,16.35,0.0,1.16,0.01,0.0,0.0,7.46,5.72,0.0,0.0,0.0,4.0,256.0
in.lj-single,74.04,46.42,59.7,27.32,38.26,4.51,7.95,0.02,1.35,0.0,0.0,0.0,0.29,48.96,0.0,39.5,0.01,1.73,0.02,0.0,0.0,7.53,0.58,0.0,0.0,0.0,8.0,256.0
in.lj-single,90.37,68.3,84.45,47.64,55.6,19.92,29.86,0.03,1.78,0.76,0.0,0.01,0.13,59.8,0.0,34.0,0.0,1.09,0.01,0.0,0.0,0.34,2.04,0.0,0.0,0.0,16.0,256.0
in.lj-single,96.5,84.01,93.49,44.14,48.98,21.04,79.17,0.01,3.13,1.05,0.0,0.0,0.81,36.71,0.0,47.3,0.0,9.37,0.02,0.0,0.0,0.2,1.37,0.0,0.0,0.0,32.0,256.0
in.lj-single,98.92,94.45,97.52,24.1,26.25,10.32,206.22,0.01,1.1,0.0,0.0,0.26,1.48,11.79,0.0,71.51,1.98,10.06,1.2,0.0,0.0,0.13,0.49,0.0,0.0,0.0,64.0,256.0
in.lj-single,25.1,22.49,23.81,9.17,9.29,9.05,8.32,0.01,0.94,0.38,0.0,0.0,0.31,50.45,0.0,13.52,1.07,9.38,0.0,0.0,0.0,21.83,2.1,0.0,0.0,0.0,2.0,864.0
in.lj-single,57.69,17.1,38.23,28.47,50.77,6.01,12.73,0.02,2.59,0.0,0.0,0.0,0.26,34.6,0.0,8.65,0.01,4.47,0.01,0.0,0.0,46.14,3.26,0.0,0.0,0.0,4.0,864.0
in.lj-single,68.71,44.94,61.64,44.9,57.38,13.5,27.86,0.03,1.1,0.0,0.0,0.01,0.09,70.11,0.0,11.27,0.0,5.41,0.01,0.0,0.0,6.73,5.24,0.0,0.0,0.0,8.0,864.0
in.lj-single,80.48,58.08,74.08,51.27,60.3,18.69,51.91,0.05,3.01,0.0,0.0,0.01,1.0,61.1,0.0,19.78,1.48,7.4,0.99,0.0,0.0,2.59,2.59,0.0,0.0,0.0,16.0,864.0
in.lj-single,92.64,77.14,86.85,53.83,59.52,22.62,118.44,0.03,4.53,0.7,0.0,0.0,0.13,54.17,0.0,30.6,0.01,5.22,0.02,0.0,0.0,0.31,4.28,0.0,0.0,0.0,32.0,864.0
in.lj-single,96.22,83.03,91.75,22.26,24.79,7.75,207.06,0.02,0.52,0.0,0.0,0.01,1.14,25.4,0.0,70.46,0.01,0.49,0.03,0.0,0.0,0.2,1.72,0.0,0.0,0.0,64.0,864.0
in.lj-single,67.67,39.91,57.58,5.19,6.31,4.54,1.45,0.0,5.55,0.0,0.0,0.0,0.0,2.3,0.0,86.2,0.02,1.3,0.01,0.0,0.0,0.15,4.46,0.0,0.0,0.0,2.0,2048.0
in.lj-single,57.37,13.88,35.78,30.33,53.97,6.68,28.31,0.03,0.15,0.0,0.0,0.0,0.12,19.09,0.0,4.02,0.2,1.54,0.0,0.0,0.0,69.47,5.38,0.0,0.0,0.0,4.0,2048.0
in.lj-single,63.1,24.69,51.95,43.15,55.4,9.05,47.22,0.05,1.39,0.25,0.0,0.0,0.29,80.96,0.0,7.1,0.0,1.26,0.18,0.0,0.0,6.1,2.42,0.0,0.0,0.0,8.0,2048.0
in.lj-single,69.71,34.32,60.63,45.54,53.81,10.78,65.88,0.08,3.92,0.0,0.0,0.28,0.09,69.08,0.0,15.97,0.59,2.15,0.0,0.0,0.0,4.04,3.79,0.0,0.0,0.0,16.0,2048.0
in.lj-single,82.67,63.56,75.29,47.77,53.0,15.33,128.23,0.05,0.71,0.65,0.0,0.0,0.12,58.33,0.0,28.48,0.81,7.34,0.02,0.0,0.0,0.84,2.65,0.0,0.0,0.0,32.0,2048.0
in.lj-single,91.0,68.87,83.19,28.03,31.27,7.21,236.56,0.03,0.51,0.0,0.0,0.3,0.42,30.74,0.0,59.97,0.23,5.52,0.02,0.0,0.0,0.32,1.92,0.0,0.0,0.0,64.0,2048.0
