Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Comm_free,MPI_Comm_rank,MPI_Init,MPI_Allreduce,MPI_Finalize,MPI_Allgather,MPI_Sendrecv,MPI_Comm_size,MPI_Cart_shift,MPI_Cart_rank,MPI_Barrier,MPI_Irecv,MPI_Waitany,MPI_Alltoall,MPI_Alltoallv,MPI_Wait,MPI_Bcast,MPI_Cart_get,MPI_Reduce,MPI_Comm_dup,MPI_Send,MPI_Cart_create,Processes,Size
in.rhodo,50.71,3.97,27.15,23.97,48.22,0.12,21.44,0.0,0.0,6.08,16.61,0.07,0.0,1.82,0.0,0.0,0.0,0.08,0.02,1.61,0.08,0.0,71.56,1.27,0.0,0.0,0.01,0.77,0.02,2.0,32.0
in.rhodo,51.53,11.09,40.89,35.23,48.08,0.42,34.02,0.0,0.0,4.09,16.19,0.01,0.0,1.75,0.0,0.0,0.0,0.0,0.08,4.06,0.09,0.0,69.43,2.79,0.0,0.0,0.01,1.48,0.01,4.0,32.0
in.rhodo,56.56,15.2,49.82,39.9,47.0,2.08,47.46,0.0,0.0,9.65,21.42,0.06,0.01,1.38,0.0,0.0,0.0,0.0,0.06,3.37,0.01,0.01,59.1,3.72,0.0,0.0,0.02,1.16,0.02,8.0,32.0
in.rhodo,65.57,36.32,58.61,41.52,46.46,3.09,70.3,0.0,0.0,15.13,17.39,0.07,0.01,1.47,0.0,0.0,0.0,0.0,0.12,22.66,0.01,0.06,35.96,5.73,0.0,0.0,0.03,1.33,0.02,16.0,32.0
in.rhodo,76.98,50.73,69.56,38.03,43.64,3.21,133.86,0.0,0.0,31.96,20.0,0.1,0.19,0.12,0.0,0.0,0.0,0.0,0.12,17.26,0.32,0.11,20.63,7.79,0.0,0.0,0.04,1.32,0.05,32.0,32.0
in.rhodo,88.4,60.89,79.44,28.18,30.43,2.21,271.05,0.0,0.0,53.14,12.43,0.17,0.27,0.31,0.0,0.0,0.0,0.01,0.15,14.31,0.12,0.89,13.35,3.53,0.0,0.0,0.04,1.25,0.02,64.0,32.0
in.rhodo,50.9,1.57,26.38,24.42,48.5,0.05,28.71,0.0,0.0,4.35,17.6,0.05,0.0,2.0,0.0,0.0,0.0,0.1,0.01,1.65,0.14,0.12,72.03,1.12,0.0,0.0,0.0,0.8,0.05,2.0,256.0
in.rhodo,51.5,3.14,38.9,36.29,49.23,0.4,43.91,0.0,0.0,4.09,18.97,0.04,0.0,2.08,0.0,0.0,0.0,0.01,0.01,2.39,0.31,0.01,67.33,2.3,0.0,0.0,0.01,2.44,0.01,4.0,256.0
in.rhodo,53.58,7.6,45.93,40.0,46.38,0.52,55.08,0.0,0.0,7.95,19.1,0.02,0.0,1.95,0.0,0.0,0.0,0.2,0.02,2.13,0.02,0.21,63.83,3.74,0.0,0.0,0.02,0.81,0.01,8.0,256.0
in.rhodo,59.32,16.17,50.93,37.66,43.7,1.21,69.76,0.0,0.0,18.14,16.7,0.07,0.01,1.88,0.0,0.0,0.0,0.01,0.03,14.63,0.28,0.06,40.12,6.92,0.0,0.0,0.03,1.06,0.05,16.0,256.0
in.rhodo,71.71,34.03,60.04,33.49,39.03,2.08,111.62,0.0,0.0,33.5,8.61,0.11,0.37,0.83,0.0,0.0,0.0,0.45,0.04,17.81,0.14,0.51,26.14,10.22,0.0,0.0,0.04,1.16,0.07,32.0,256.0
in.rhodo,85.5,57.35,75.36,26.72,29.76,2.46,260.62,0.0,0.0,57.03,7.62,0.19,0.01,1.28,0.0,0.0,0.0,0.02,0.04,14.69,0.4,0.99,12.71,4.23,0.0,0.0,0.04,0.71,0.03,64.0,256.0
in.rhodo,50.2,0.94,25.53,24.69,49.46,0.02,93.75,0.0,0.0,1.43,19.25,0.02,0.0,2.65,0.0,0.0,0.0,0.11,0.0,1.74,0.15,0.0,73.81,0.29,0.0,0.0,0.0,0.52,0.03,2.0,864.0
in.rhodo,50.83,1.49,38.22,37.03,50.33,0.05,142.8,0.0,0.0,1.19,19.41,0.01,0.0,2.75,0.0,0.0,0.0,0.05,0.02,1.27,0.19,0.01,70.63,0.74,0.0,0.0,0.0,3.71,0.03,4.0,864.0
in.rhodo,51.53,3.77,44.84,41.88,48.39,0.26,171.23,0.0,0.0,3.47,18.92,0.02,0.0,2.42,0.0,0.0,0.0,0.06,0.02,2.46,0.3,0.03,67.73,1.4,0.0,0.0,0.01,3.15,0.01,8.0,864.0
in.rhodo,53.08,7.25,48.48,43.33,47.83,0.48,195.72,0.0,0.0,5.7,18.93,0.15,0.0,1.41,0.0,0.0,0.0,0.12,0.03,18.27,0.14,0.15,50.21,2.64,0.0,0.0,0.01,2.22,0.01,16.0,864.0
in.rhodo,61.82,20.85,56.02,39.18,43.15,1.63,275.71,0.0,0.0,23.54,16.5,0.04,0.01,1.41,0.0,0.0,0.0,0.19,0.03,21.07,0.2,0.23,31.25,4.11,0.0,0.0,0.02,1.38,0.03,32.0,864.0
in.rhodo,73.87,30.88,63.19,35.05,37.22,1.46,419.44,0.0,0.0,35.73,20.06,0.3,0.01,0.97,0.0,0.0,0.0,0.25,0.04,18.37,0.11,0.7,19.85,2.36,0.0,0.0,0.02,1.19,0.02,64.0,864.0
in.rhodo,47.56,15.84,30.9,20.12,41.96,0.37,3.96,0.0,0.0,30.19,12.73,0.0,0.35,25.5,0.0,0.0,0.0,2.69,0.0,0.0,8.81,0.17,9.23,8.89,0.0,0.0,0.03,0.14,1.27,2.0,2048.0
in.rhodo,50.74,1.22,38.33,37.43,50.21,0.03,338.06,0.0,0.0,0.6,19.35,0.0,0.0,3.25,0.0,0.0,0.0,0.1,0.0,0.21,0.17,0.03,70.47,0.33,0.0,0.0,0.0,5.46,0.02,4.0,2048.0
in.rhodo,50.76,2.16,44.4,42.67,49.09,0.07,396.81,0.0,0.0,1.29,19.77,0.01,0.0,2.78,0.0,0.0,0.0,0.08,0.02,1.33,0.23,0.02,69.8,0.62,0.0,0.0,0.0,4.02,0.02,8.0,2048.0
in.rhodo,51.46,3.57,47.5,44.78,48.86,0.21,434.99,0.0,0.0,2.54,20.01,0.01,0.0,1.96,0.0,0.0,0.0,0.07,0.02,19.23,0.15,0.11,51.17,1.16,0.0,0.0,0.0,3.56,0.01,16.0,2048.0
in.rhodo,55.23,8.28,51.1,44.48,47.28,0.6,517.25,0.0,0.0,8.56,20.15,0.03,0.08,0.94,0.0,0.0,0.0,0.14,0.03,28.51,0.04,0.25,36.7,2.3,0.0,0.0,0.01,2.25,0.01,32.0,2048.0
in.rhodo,63.3,17.66,55.2,40.2,42.13,1.14,704.93,0.0,0.0,20.35,20.14,0.07,0.0,0.36,0.0,0.0,0.0,0.03,0.04,29.76,0.11,0.8,25.69,1.21,0.0,0.0,0.01,1.42,0.01,64.0,2048.0
in.rhodo-double,24.5,23.78,24.14,11.31,11.5,11.12,31.17,0.0,0.0,3.9,42.81,0.08,0.44,2.36,0.0,0.0,0.0,0.01,0.01,16.96,0.0,0.0,26.4,1.22,0.0,0.0,0.52,5.29,0.0,2.0,32.0
in.rhodo-double,65.8,31.74,49.12,39.47,62.83,15.24,72.64,0.0,0.0,1.77,34.67,0.13,0.03,1.85,0.0,0.0,0.0,0.0,0.02,12.11,0.15,0.39,44.73,1.76,0.0,0.0,0.0,2.25,0.14,4.0,32.0
in.rhodo-double,70.65,39.65,63.6,52.26,64.02,17.26,110.78,0.0,0.0,2.74,16.78,0.01,0.0,1.83,0.0,0.0,0.0,0.0,0.03,17.81,0.0,0.01,54.4,5.57,0.0,0.0,0.01,0.46,0.35,8.0,32.0
in.rhodo-double,74.57,41.15,69.32,56.12,62.45,17.46,145.74,0.0,0.0,7.24,16.24,0.03,0.11,0.37,0.0,0.0,0.0,0.0,0.06,30.34,0.01,0.02,39.1,5.81,0.0,0.0,0.01,0.65,0.01,16.0,32.0
in.rhodo-double,87.11,63.96,84.33,68.54,72.64,27.02,365.79,0.0,0.0,10.3,29.39,0.04,0.0,1.47,0.0,0.0,0.0,0.0,0.05,25.72,0.03,1.31,21.71,9.28,0.0,0.0,0.01,0.44,0.23,32.0,32.0
in.rhodo-double,91.96,72.8,88.83,62.84,65.12,26.46,663.3,0.0,0.0,21.94,28.09,0.22,0.0,0.61,0.0,0.0,0.0,0.37,0.06,28.02,0.37,0.53,12.58,6.3,0.0,0.0,0.01,0.53,0.37,64.0,32.0
in.rhodo-double,15.63,12.37,14.0,6.64,7.76,5.52,22.17,0.0,0.0,5.04,34.12,0.01,0.18,1.21,0.0,0.0,0.0,0.04,0.01,9.88,0.75,0.18,28.68,2.72,0.0,0.0,0.01,17.06,0.12,2.0,256.0
in.rhodo-double,62.49,26.88,45.0,37.47,60.71,12.44,84.19,0.0,0.0,1.44,27.68,0.23,0.03,1.47,0.0,0.0,0.0,0.19,0.01,10.95,0.27,0.01,43.95,5.33,0.0,0.0,0.0,8.46,0.0,4.0,256.0
in.rhodo-double,69.78,39.95,61.98,54.3,66.14,18.65,145.27,0.0,0.0,2.15,31.06,0.03,0.14,1.99,0.0,0.0,0.0,0.01,0.01,14.53,0.31,0.12,42.49,5.3,0.0,0.0,0.28,1.46,0.13,8.0,256.0
in.rhodo-double,68.94,37.7,62.78,53.3,59.81,15.25,145.57,0.0,0.0,7.23,24.35,0.29,0.0,1.87,0.0,0.0,0.0,0.63,0.02,19.59,0.28,0.57,35.05,9.12,0.0,0.0,0.01,0.97,0.01,16.0,256.0
in.rhodo-double,80.47,57.48,76.41,60.95,65.17,21.65,283.05,0.0,0.0,13.31,29.65,0.36,1.94,2.03,0.0,0.0,0.0,0.13,0.02,12.21,0.48,1.06,18.32,17.71,0.0,0.0,2.24,0.53,0.01,32.0,256.0
in.rhodo-double,86.92,63.12,79.88,45.8,48.74,14.32,413.31,0.0,0.0,35.95,22.52,0.36,0.38,1.07,0.0,0.0,0.0,0.01,0.03,12.19,1.24,3.76,13.49,7.38,0.0,0.0,0.32,0.51,0.81,64.0,256.0
in.rhodo-double,6.4,5.33,5.87,2.65,2.99,2.31,28.7,0.0,0.0,3.97,28.39,0.09,0.02,2.08,0.0,0.0,0.0,0.11,0.01,13.48,0.64,0.31,28.09,5.21,0.0,0.0,0.01,17.53,0.07,2.0,864.0
in.rhodo-double,55.85,12.08,33.92,30.66,54.72,5.22,178.45,0.0,0.0,0.68,19.53,0.05,0.18,2.28,0.0,0.0,0.0,0.15,0.01,5.75,0.25,0.0,55.95,4.55,0.0,0.0,0.14,10.44,0.02,4.0,864.0
in.rhodo-double,59.82,18.83,49.6,45.52,57.73,9.71,290.45,0.0,0.0,1.07,19.47,0.01,0.0,2.94,0.0,0.0,0.0,0.11,0.03,9.46,0.32,0.02,55.62,2.97,0.0,0.0,0.0,7.89,0.06,8.0,864.0
in.rhodo-double,61.41,22.38,55.82,50.97,57.46,9.49,343.86,0.0,0.0,3.04,26.71,0.01,0.05,1.7,0.0,0.0,0.0,0.2,0.02,18.56,0.69,2.54,39.86,4.48,0.0,0.0,0.0,2.03,0.1,16.0,864.0
in.rhodo-double,67.54,30.51,62.67,54.08,58.22,11.66,458.17,0.0,0.0,8.06,26.15,0.03,0.07,0.78,0.0,0.0,0.0,0.14,0.02,22.33,0.59,1.44,26.9,12.51,0.0,0.0,0.01,0.97,0.01,32.0,864.0
in.rhodo-double,78.48,49.86,72.6,55.14,58.11,16.71,839.11,0.0,0.0,17.53,31.63,0.15,0.4,1.36,0.0,0.0,0.0,0.5,0.02,20.33,0.75,3.26,20.19,2.41,0.0,0.0,0.55,0.71,0.21,64.0,864.0
in.rhodo-double,19.79,14.62,17.32,3.94,4.08,3.78,2.35,0.0,0.0,49.1,11.32,0.0,0.0,1.03,0.0,0.0,0.0,1.35,0.0,0.0,5.6,8.75,1.8,19.91,0.0,0.0,0.05,0.22,0.86,2.0,2048.0
in.rhodo-double,54.17,7.84,30.81,29.35,53.41,4.93,369.56,0.0,0.0,0.31,18.75,0.01,0.01,2.51,0.0,0.0,0.0,0.08,0.02,2.61,0.18,0.01,60.14,0.51,0.0,0.0,0.0,14.83,0.02,4.0,2048.0
in.rhodo-double,53.23,7.06,41.64,39.67,52.03,3.0,498.84,0.0,0.0,0.61,19.6,0.0,0.05,2.73,0.0,0.0,0.0,0.14,0.01,2.96,0.15,0.08,66.07,1.67,0.0,0.0,0.04,5.87,0.02,8.0,2048.0
in.rhodo-double,55.85,12.13,49.8,47.01,53.22,4.82,636.14,0.0,0.0,1.61,21.34,0.02,0.0,1.6,0.0,0.0,0.0,0.1,0.02,21.17,0.39,0.33,46.98,1.29,0.0,0.0,0.0,5.1,0.04,16.0,2048.0
in.rhodo-double,60.24,20.91,56.59,51.53,54.87,7.34,819.97,0.0,0.0,4.53,22.99,0.07,0.13,0.9,0.0,0.0,0.0,0.2,0.02,27.88,0.48,1.58,31.56,7.5,0.0,0.0,0.06,1.9,0.18,32.0,2048.0
in.rhodo-double,65.53,27.31,59.22,47.71,49.94,7.37,1076.68,0.0,0.0,13.49,26.56,0.04,0.0,0.83,0.0,0.0,0.0,0.24,0.03,22.42,0.89,2.08,30.17,2.14,0.0,0.0,0.01,0.94,0.16,64.0,2048.0
in.rhodo-single,28.2,21.51,24.84,10.7,11.1,10.29,23.99,0.0,0.0,4.89,23.4,0.05,0.0,2.95,0.0,0.0,0.0,0.0,0.01,4.33,0.0,0.11,54.95,4.51,0.0,0.0,0.01,4.78,0.0,2.0,32.0
in.rhodo-single,67.57,40.98,57.35,40.36,63.26,16.16,68.88,0.0,0.0,1.81,13.67,0.05,0.01,4.06,0.0,0.0,0.0,0.0,0.02,22.34,0.0,0.0,55.09,1.31,0.0,0.0,0.0,1.63,0.0,4.0,32.0
in.rhodo-single,74.85,50.23,68.53,56.6,68.1,22.23,106.8,0.0,0.0,2.99,23.59,0.32,0.0,1.03,0.0,0.0,0.0,0.16,0.03,16.41,0.07,0.01,46.28,8.62,0.0,0.0,0.01,0.47,0.0,8.0,32.0
in.rhodo-single,81.98,66.54,78.79,65.62,72.04,24.91,173.13,0.0,0.0,5.95,35.42,0.03,0.19,0.38,0.0,0.0,0.0,0.0,0.04,20.71,0.15,0.01,23.92,12.59,0.0,0.0,0.01,0.6,0.01,16.0,32.0
in.rhodo-single,88.06,66.22,84.94,67.13,71.15,26.41,303.0,0.0,0.0,12.17,19.66,0.04,0.13,2.11,0.0,0.0,0.0,0.42,0.05,29.91,0.66,1.43,19.59,13.26,0.0,0.0,0.02,0.55,0.01,32.0,32.0
in.rhodo-single,92.11,72.46,88.49,56.61,59.05,22.95,513.86,0.0,0.0,28.39,24.57,0.11,0.01,0.62,0.0,0.0,0.0,0.74,0.07,23.94,0.98,4.91,12.31,2.67,0.0,0.0,0.02,0.65,0.01,64.0,32.0
in.rhodo-single,15.07,14.47,14.78,6.3,6.61,5.99,17.41,0.0,0.0,6.82,33.15,0.1,0.0,1.62,0.0,0.0,0.0,0.17,0.01,8.44,1.17,0.37,26.21,5.91,0.0,0.0,0.01,15.86,0.16,2.0,256.0
in.rhodo-single,59.9,20.48,40.69,34.57,57.43,9.85,53.55,0.0,0.0,2.22,31.47,0.07,0.0,2.75,0.0,0.0,0.0,0.46,0.01,7.76,0.5,0.07,44.13,3.63,0.0,0.0,0.01,6.61,0.31,4.0,256.0
in.rhodo-single,64.62,28.74,56.3,49.03,60.79,13.86,87.29,0.0,0.0,3.46,30.94,0.03,0.0,2.23,0.0,0.0,0.0,0.01,0.01,9.4,0.14,0.02,45.76,6.76,0.0,0.0,0.01,1.22,0.01,8.0,256.0
in.rhodo-single,71.01,40.1,64.91,53.9,60.49,15.48,121.65,0.0,0.0,8.53,25.81,0.24,0.12,2.02,0.0,0.0,0.0,0.01,0.02,17.38,0.89,0.82,30.62,12.26,0.0,0.0,0.01,0.91,0.38,16.0,256.0
in.rhodo-single,82.78,63.06,78.71,61.03,65.18,21.97,246.2,0.0,0.0,14.95,16.66,0.06,0.01,1.67,0.0,0.0,0.0,1.23,0.02,14.61,1.51,9.33,17.7,21.48,0.0,0.0,0.02,0.47,0.29,32.0,256.0
in.rhodo-single,90.42,73.36,85.34,53.09,55.61,20.95,459.8,0.0,0.0,31.83,24.85,0.47,0.7,0.97,0.0,0.0,0.0,0.45,0.03,13.64,1.06,3.57,10.61,9.63,0.0,0.0,0.73,0.43,1.02,64.0,256.0
in.rhodo-single,8.37,7.31,7.84,3.43,3.83,3.03,29.53,0.0,0.0,3.96,27.83,0.1,0.0,2.33,0.0,0.0,0.0,0.43,0.01,14.32,0.71,1.02,23.92,10.42,0.0,0.0,0.01,14.8,0.15,2.0,864.0
in.rhodo-single,54.93,10.11,32.54,29.74,53.62,4.65,127.16,0.0,0.0,0.98,21.8,0.07,0.02,3.78,0.0,0.0,0.0,0.09,0.03,4.09,0.25,0.05,54.48,4.21,0.0,0.0,0.0,10.14,0.02,4.0,864.0
in.rhodo-single,57.52,16.44,47.16,43.19,55.26,7.64,198.21,0.0,0.0,1.53,22.26,0.01,0.1,4.62,0.0,0.0,0.0,0.15,0.01,6.42,0.35,0.01,54.0,4.27,0.0,0.0,0.0,6.18,0.08,8.0,864.0
in.rhodo-single,65.86,32.98,60.79,54.84,61.1,13.28,320.14,0.0,0.0,3.29,27.78,0.02,0.2,1.95,0.0,0.0,0.0,0.19,0.02,17.21,0.59,1.48,34.43,9.86,0.0,0.0,0.19,2.68,0.13,16.0,864.0
in.rhodo-single,74.25,44.73,70.31,60.9,64.53,18.97,488.15,0.0,0.0,7.63,30.51,0.03,0.13,0.78,0.0,0.0,0.0,0.46,0.02,18.51,0.95,3.01,23.83,13.21,0.0,0.0,0.01,0.93,0.01,32.0,864.0
in.rhodo-single,80.22,48.87,73.56,51.31,53.87,14.25,641.03,0.0,0.0,22.76,23.22,0.29,0.01,0.94,0.0,0.0,0.0,0.94,0.03,14.98,1.71,8.55,17.76,7.59,0.0,0.0,0.01,0.9,0.31,64.0,864.0
in.rhodo-single,22.18,9.51,16.1,2.95,3.11,2.8,2.15,0.0,0.0,51.89,10.62,0.0,0.0,1.23,0.0,0.0,0.0,0.65,0.0,0.0,7.41,0.83,1.53,25.33,0.0,0.0,0.07,0.4,0.03,2.0,2048.0
in.rhodo-single,55.6,10.12,32.9,30.96,54.49,6.33,307.54,0.0,0.0,0.38,20.62,0.01,0.0,2.91,0.0,0.0,0.0,0.1,0.01,2.9,0.17,0.02,53.3,2.0,0.0,0.0,0.03,17.53,0.02,4.0,2048.0
in.rhodo-single,54.82,9.58,43.27,40.67,53.12,4.07,402.75,0.0,0.0,0.77,21.84,0.01,0.0,3.25,0.0,0.0,0.0,0.1,0.02,4.62,0.31,0.01,59.54,1.5,0.0,0.0,0.05,7.97,0.02,8.0,2048.0
in.rhodo-single,57.14,15.42,51.2,47.64,53.79,6.01,508.94,0.0,0.0,2.03,23.22,0.01,0.0,1.8,0.0,0.0,0.0,0.08,0.02,21.49,0.25,0.08,43.27,1.26,0.0,0.0,0.0,6.44,0.05,16.0,2048.0
in.rhodo-single,63.02,25.43,58.48,52.31,55.8,8.8,679.33,0.0,0.0,5.45,27.77,0.05,0.0,1.21,0.0,0.0,0.0,0.14,0.02,25.08,0.64,1.08,31.44,4.31,0.0,0.0,0.01,2.73,0.06,32.0,2048.0
in.rhodo-single,69.23,31.92,62.69,48.05,50.73,8.72,898.84,0.0,0.0,16.18,30.3,0.18,0.0,0.76,0.0,0.0,0.0,0.05,0.03,19.92,0.68,3.14,25.73,1.87,0.0,0.0,0.01,1.14,0.01,64.0,2048.0
