Benchmark,MPI_(%),MPI_Time,MPI_Reduce,MPI_Bcast,MPI_Cart_create,MPI_Waitany,MPI_Cart_get,MPI_Cart_shift,MPI_Send,MPI_Irecv,MPI_Comm_free,MPI_Alltoall,MPI_Allreduce,MPI_Alltoallv,MPI_Barrier,MPI_Comm_dup,MPI_Init,MPI_Cart_rank,MPI_Finalize,MPI_Sendrecv,MPI_Comm_size,MPI_Wait,MPI_Comm_rank,MPI_Allgather,Processes,Size
in.rhodo,0.27,0.11,0.02,0.24,0.13,0.0,0.0,0.0,0.0,0.0,1.51,0.03,3.9,1.29,0.51,0.26,87.0,0.0,5.07,0.0,0.0,0.0,0.01,0.01,1.0,32.0
in.rhodo,27.15,21.44,0.0,1.27,0.02,1.61,0.0,0.0,0.77,0.02,0.0,0.08,16.61,0.0,0.08,0.01,6.08,0.0,0.07,1.82,0.0,71.56,0.0,0.0,2.0,32.0
in.rhodo,40.89,34.02,0.0,2.79,0.01,4.06,0.0,0.0,1.48,0.08,0.0,0.09,16.19,0.0,0.0,0.01,4.09,0.0,0.01,1.75,0.0,69.43,0.0,0.0,4.0,32.0
in.rhodo,49.82,47.46,0.0,3.72,0.02,3.37,0.0,0.0,1.16,0.06,0.0,0.01,21.42,0.01,0.0,0.02,9.65,0.0,0.06,1.38,0.0,59.1,0.0,0.01,8.0,32.0
in.rhodo,58.61,70.3,0.0,5.73,0.02,22.66,0.0,0.0,1.33,0.12,0.0,0.01,17.39,0.06,0.0,0.03,15.13,0.0,0.07,1.47,0.0,35.96,0.0,0.01,16.0,32.0
in.rhodo,69.56,133.86,0.0,7.79,0.05,17.26,0.0,0.0,1.32,0.12,0.0,0.32,20.0,0.11,0.0,0.04,31.96,0.0,0.1,0.12,0.0,20.63,0.0,0.19,32.0,32.0
in.rhodo,79.44,271.05,0.0,3.53,0.02,14.31,0.0,0.0,1.25,0.15,0.0,0.12,12.43,0.89,0.01,0.04,53.14,0.0,0.17,0.31,0.0,13.35,0.0,0.27,64.0,32.0
in.rhodo,0.13,0.07,0.03,1.1,0.27,0.0,0.01,0.01,0.0,0.0,1.61,0.07,2.92,3.79,0.08,0.86,81.46,0.0,7.75,0.0,0.0,0.0,0.01,0.03,1.0,256.0
in.rhodo,26.38,28.71,0.0,1.12,0.05,1.65,0.0,0.0,0.8,0.01,0.0,0.14,17.6,0.12,0.1,0.0,4.35,0.0,0.05,2.0,0.0,72.03,0.0,0.0,2.0,256.0
in.rhodo,38.9,43.91,0.0,2.3,0.01,2.39,0.0,0.0,2.44,0.01,0.0,0.31,18.97,0.01,0.01,0.01,4.09,0.0,0.04,2.08,0.0,67.33,0.0,0.0,4.0,256.0
in.rhodo,45.93,55.08,0.0,3.74,0.01,2.13,0.0,0.0,0.81,0.02,0.0,0.02,19.1,0.21,0.2,0.02,7.95,0.0,0.02,1.95,0.0,63.83,0.0,0.0,8.0,256.0
in.rhodo,50.93,69.76,0.0,6.92,0.05,14.63,0.0,0.0,1.06,0.03,0.0,0.28,16.7,0.06,0.01,0.03,18.14,0.0,0.07,1.88,0.0,40.12,0.0,0.01,16.0,256.0
in.rhodo,60.04,111.62,0.0,10.22,0.07,17.81,0.0,0.0,1.16,0.04,0.0,0.14,8.61,0.51,0.45,0.04,33.5,0.0,0.11,0.83,0.0,26.14,0.0,0.37,32.0,256.0
in.rhodo,75.36,260.62,0.0,4.23,0.03,14.69,0.0,0.0,0.71,0.04,0.0,0.4,7.62,0.99,0.02,0.04,57.03,0.0,0.19,1.28,0.0,12.71,0.0,0.01,64.0,256.0
in.rhodo,0.04,0.08,0.04,1.04,0.25,0.0,0.01,0.01,0.0,0.0,2.1,0.09,3.44,7.0,0.05,1.19,77.08,0.0,7.66,0.0,0.0,0.0,0.01,0.03,1.0,864.0
in.rhodo,25.53,93.75,0.0,0.29,0.03,1.74,0.0,0.0,0.52,0.0,0.0,0.15,19.25,0.0,0.11,0.0,1.43,0.0,0.02,2.65,0.0,73.81,0.0,0.0,2.0,864.0
in.rhodo,38.22,142.8,0.0,0.74,0.03,1.27,0.0,0.0,3.71,0.02,0.0,0.19,19.41,0.01,0.05,0.0,1.19,0.0,0.01,2.75,0.0,70.63,0.0,0.0,4.0,864.0
in.rhodo,44.84,171.23,0.0,1.4,0.01,2.46,0.0,0.0,3.15,0.02,0.0,0.3,18.92,0.03,0.06,0.01,3.47,0.0,0.02,2.42,0.0,67.73,0.0,0.0,8.0,864.0
in.rhodo,48.48,195.72,0.0,2.64,0.01,18.27,0.0,0.0,2.22,0.03,0.0,0.14,18.93,0.15,0.12,0.01,5.7,0.0,0.15,1.41,0.0,50.21,0.0,0.0,16.0,864.0
in.rhodo,56.02,275.71,0.0,4.11,0.03,21.07,0.0,0.0,1.38,0.03,0.0,0.2,16.5,0.23,0.19,0.02,23.54,0.0,0.04,1.41,0.0,31.25,0.0,0.01,32.0,864.0
in.rhodo,63.19,419.44,0.0,2.36,0.02,18.37,0.0,0.0,1.19,0.04,0.0,0.11,20.06,0.7,0.25,0.02,35.73,0.0,0.3,0.97,0.0,19.85,0.0,0.01,64.0,864.0
in.rhodo,0.75,0.07,0.0,1.05,0.27,0.0,0.01,0.01,0.0,0.0,0.03,0.8,0.31,14.66,0.03,2.61,80.18,0.0,0.0,0.0,0.0,0.0,0.01,0.02,1.0,2048.0
in.rhodo,30.9,3.96,0.0,8.89,1.27,0.0,0.0,0.0,0.14,0.0,0.0,8.81,12.73,0.17,2.69,0.03,30.19,0.0,0.0,25.5,0.0,9.23,0.0,0.35,2.0,2048.0
in.rhodo,38.33,338.06,0.0,0.33,0.02,0.21,0.0,0.0,5.46,0.0,0.0,0.17,19.35,0.03,0.1,0.0,0.6,0.0,0.0,3.25,0.0,70.47,0.0,0.0,4.0,2048.0
in.rhodo,44.4,396.81,0.0,0.62,0.02,1.33,0.0,0.0,4.02,0.02,0.0,0.23,19.77,0.02,0.08,0.0,1.29,0.0,0.01,2.78,0.0,69.8,0.0,0.0,8.0,2048.0
in.rhodo,47.5,434.99,0.0,1.16,0.01,19.23,0.0,0.0,3.56,0.02,0.0,0.15,20.01,0.11,0.07,0.0,2.54,0.0,0.01,1.96,0.0,51.17,0.0,0.0,16.0,2048.0
in.rhodo,51.1,517.25,0.0,2.3,0.01,28.51,0.0,0.0,2.25,0.03,0.0,0.04,20.15,0.25,0.14,0.01,8.56,0.0,0.03,0.94,0.0,36.7,0.0,0.08,32.0,2048.0
in.rhodo,55.2,704.93,0.0,1.21,0.01,29.76,0.0,0.0,1.42,0.04,0.0,0.11,20.14,0.8,0.03,0.01,20.35,0.0,0.07,0.36,0.0,25.69,0.0,0.0,64.0,2048.0
in.rhodo-e-5,0.42,0.18,0.01,0.19,0.17,0.0,0.0,0.0,0.0,0.0,0.91,0.02,3.01,1.03,0.33,0.24,91.44,0.0,2.62,0.0,0.0,0.0,0.01,0.01,1.0,32.0
in.rhodo-e-5,5.14,2.34,0.0,2.24,0.1,4.31,0.0,0.0,7.92,0.21,0.0,0.01,7.06,0.03,0.05,0.12,62.23,0.0,0.07,0.93,0.0,14.7,0.0,0.01,2.0,32.0
in.rhodo-e-5,9.36,4.69,0.0,4.08,0.07,8.0,0.0,0.0,10.5,0.28,0.0,0.03,7.99,0.11,0.02,0.12,39.73,0.0,0.08,1.33,0.0,27.61,0.0,0.02,4.0,32.0
in.rhodo-e-5,17.21,10.25,0.0,4.7,0.1,8.74,0.0,0.0,8.02,0.31,0.0,0.07,6.26,0.09,0.01,0.11,44.88,0.0,0.11,0.92,0.0,25.65,0.0,0.02,8.0,32.0
in.rhodo-e-5,28.21,23.42,0.0,4.84,0.11,8.5,0.0,0.0,6.78,0.35,0.0,0.06,8.55,0.18,0.01,0.15,49.77,0.0,0.16,0.57,0.0,19.93,0.0,0.03,16.0,32.0
in.rhodo-e-5,60.82,105.97,0.0,3.48,0.08,3.15,0.0,0.0,2.2,0.18,0.0,0.03,5.92,0.13,0.01,0.05,78.31,0.0,0.12,0.17,0.0,6.16,0.0,0.01,32.0,32.0
in.rhodo-e-5,71.84,197.36,0.0,1.27,0.03,2.58,0.0,0.0,1.91,0.19,0.0,0.14,8.59,0.64,0.34,0.05,77.59,0.0,0.25,0.19,0.0,6.22,0.0,0.02,64.0,32.0
in.rhodo-e-5,0.11,0.06,0.02,1.29,0.3,0.0,0.01,0.01,0.0,0.0,1.8,0.07,3.41,4.25,0.11,1.48,77.37,0.0,9.82,0.0,0.0,0.0,0.01,0.03,1.0,256.0
in.rhodo-e-5,3.75,2.31,0.0,2.67,0.11,5.14,0.0,0.0,5.64,0.08,0.0,0.05,5.73,0.11,0.06,0.14,67.32,0.0,0.08,0.48,0.0,12.36,0.0,0.01,2.0,256.0
in.rhodo-e-5,5.95,3.87,0.0,7.09,0.13,4.42,0.0,0.0,24.56,0.13,0.0,0.21,8.42,0.19,0.04,0.15,40.96,0.0,0.14,0.9,0.0,12.63,0.0,0.02,4.0,256.0
in.rhodo-e-5,13.73,10.3,0.0,6.25,0.12,5.88,0.0,0.0,6.18,0.11,0.0,0.14,6.39,0.18,0.03,0.1,60.52,0.0,0.12,0.69,0.0,13.24,0.0,0.03,8.0,256.0
in.rhodo-e-5,25.05,25.06,0.0,5.5,0.14,4.11,0.0,0.0,4.53,0.1,0.0,0.1,5.04,0.28,0.02,0.15,67.76,0.0,0.15,0.53,0.0,11.56,0.0,0.03,16.0,256.0
in.rhodo-e-5,41.17,56.57,0.0,5.11,0.12,2.45,0.0,0.0,2.26,0.08,0.0,0.09,4.74,0.41,0.03,0.1,73.68,0.0,0.23,0.4,0.0,10.25,0.0,0.03,32.0,256.0
in.rhodo-e-5,67.33,186.29,0.0,1.55,0.04,1.97,0.0,0.0,1.45,0.06,0.0,0.2,4.94,0.75,0.03,0.05,82.42,0.0,0.26,0.14,0.0,6.13,0.0,0.02,64.0,256.0
in.rhodo-e-5,0.03,0.07,0.79,0.41,0.28,0.0,0.01,0.01,0.0,0.0,3.09,0.12,4.23,9.35,0.08,0.53,73.04,0.0,8.01,0.0,0.0,0.0,0.01,0.03,1.0,864.0
in.rhodo-e-5,2.0,4.05,0.0,2.13,0.05,9.74,0.0,0.0,9.14,0.06,0.0,0.07,6.33,0.16,0.06,0.05,35.61,0.0,0.05,4.89,0.0,31.67,0.0,0.0,2.0,864.0
in.rhodo-e-5,4.51,9.47,0.0,4.38,0.07,1.34,0.0,0.0,49.04,0.07,0.0,0.16,6.9,0.15,0.03,0.03,16.36,0.0,0.05,4.81,0.0,16.59,0.0,0.01,4.0,864.0
in.rhodo-e-5,7.46,16.63,0.0,5.3,0.09,5.9,0.0,0.0,30.83,0.09,0.0,0.17,8.66,0.2,0.05,0.06,27.55,0.0,0.08,4.01,0.0,16.98,0.0,0.02,8.0,864.0
in.rhodo-e-5,12.86,32.11,0.01,4.77,0.1,5.75,0.0,0.0,15.59,0.1,0.0,0.12,6.63,0.27,0.13,0.11,49.06,0.0,0.11,2.38,0.0,14.86,0.0,0.03,16.0,864.0
in.rhodo-e-5,25.76,80.73,0.0,4.25,0.09,4.16,0.0,0.0,4.11,0.07,0.0,0.1,7.46,0.33,0.05,0.06,66.54,0.0,0.16,1.18,0.0,11.4,0.0,0.02,32.0,864.0
in.rhodo-e-5,44.69,212.1,0.0,2.34,0.04,2.84,0.0,0.0,2.81,0.07,0.0,0.19,6.75,0.84,0.04,0.04,73.0,0.0,0.23,0.53,0.0,10.25,0.0,0.02,64.0,864.0
in.rhodo-e-5,0.64,0.06,0.0,1.27,0.33,0.0,0.01,0.01,0.0,0.0,0.04,0.95,0.34,17.36,0.04,1.62,77.99,0.0,0.0,0.0,0.0,0.0,0.01,0.02,1.0,2048.0
in.rhodo-e-5,19.63,1.62,0.0,4.99,0.4,0.0,0.0,0.0,0.34,0.0,0.0,3.13,1.61,0.76,0.54,0.1,85.44,0.0,0.0,2.34,0.0,0.34,0.0,0.0,2.0,2048.0
in.rhodo-e-5,3.51,17.23,0.0,1.6,0.11,0.88,0.0,0.0,68.23,0.05,0.0,0.49,5.1,0.1,0.28,0.02,7.73,0.0,0.03,1.8,0.0,13.58,0.0,0.0,4.0,2048.0
in.rhodo-e-5,5.4,27.51,0.0,1.78,0.04,4.6,0.0,0.0,45.67,0.08,0.0,0.21,4.63,0.22,0.1,0.03,23.2,0.0,0.05,1.25,0.0,18.14,0.0,0.01,8.0,2048.0
in.rhodo-e-5,6.89,36.61,0.0,4.33,0.1,6.8,0.0,0.0,34.08,0.1,0.0,0.13,5.38,0.22,0.08,0.05,33.98,0.0,0.09,0.63,0.0,14.01,0.0,0.01,16.0,2048.0
in.rhodo-e-5,15.13,93.51,0.0,3.37,0.04,6.03,0.0,0.0,12.21,0.09,0.0,0.11,5.77,0.35,0.06,0.05,57.52,0.0,0.13,0.38,0.0,13.88,0.0,0.01,32.0,2048.0
in.rhodo-e-5,27.23,228.52,0.0,1.58,0.04,5.47,0.0,0.0,5.58,0.09,0.0,0.22,7.87,0.8,0.1,0.04,66.05,0.0,0.21,0.34,0.0,11.59,0.0,0.01,64.0,2048.0
in.rhodo-e-6,0.12,0.06,0.02,1.2,0.29,0.0,0.01,0.01,0.0,0.0,2.64,0.04,8.07,1.87,0.08,0.29,76.51,0.0,8.94,0.0,0.0,0.0,0.01,0.01,1.0,32.0
in.rhodo-e-6,4.95,2.66,0.0,2.01,0.09,10.23,0.0,0.0,9.98,0.21,0.0,0.01,5.1,0.03,0.04,0.09,52.42,0.0,0.07,0.87,0.0,18.84,0.0,0.0,2.0,32.0
in.rhodo-e-6,8.29,4.68,0.0,4.53,0.08,12.75,0.0,0.0,13.51,0.29,0.0,0.03,6.96,0.07,0.02,0.06,28.68,0.0,0.12,1.02,0.0,31.86,0.0,0.01,4.0,32.0
in.rhodo-e-6,16.52,11.0,0.0,4.55,0.08,11.06,0.0,0.0,10.44,0.31,0.0,0.06,7.87,0.09,0.02,0.08,37.04,0.0,0.12,0.75,0.0,27.51,0.0,0.02,8.0,32.0
in.rhodo-e-6,30.87,28.17,0.0,3.98,0.11,7.88,0.0,0.0,6.41,0.27,0.0,0.04,7.47,0.15,0.01,0.1,53.24,0.0,0.12,0.43,0.0,19.76,0.0,0.02,16.0,32.0
in.rhodo-e-6,46.97,66.63,0.0,4.7,0.05,5.33,0.0,0.0,4.06,0.28,0.0,0.04,5.06,0.2,0.01,0.07,64.06,0.0,0.19,0.24,0.0,15.68,0.0,0.02,32.0,32.0
in.rhodo-e-6,68.76,187.6,0.0,1.76,0.03,2.87,0.0,0.0,2.31,0.2,0.0,0.19,3.17,0.69,0.03,0.05,81.87,0.0,0.26,0.19,0.0,6.39,0.0,0.01,64.0,32.0
in.rhodo-e-6,0.09,0.06,0.03,0.47,0.3,0.0,0.01,0.01,0.0,0.0,2.63,0.08,3.5,4.21,0.91,0.31,78.8,0.0,8.71,0.0,0.0,0.0,0.01,0.02,1.0,256.0
in.rhodo-e-6,3.21,2.37,0.0,1.99,0.06,13.27,0.0,0.0,12.8,0.08,0.0,0.07,2.71,0.11,0.06,0.13,54.96,0.0,0.08,0.41,0.0,13.26,0.0,0.0,2.0,256.0
in.rhodo-e-6,8.53,6.83,0.0,4.17,0.08,1.27,0.0,0.0,56.07,0.09,0.0,0.11,3.73,0.11,0.03,0.07,22.92,0.0,0.08,0.57,0.0,10.7,0.0,0.01,4.0,256.0
in.rhodo-e-6,14.77,12.97,0.0,3.91,0.07,5.9,0.0,0.0,25.98,0.1,0.0,0.09,2.69,0.19,0.03,0.08,50.33,0.0,0.09,0.44,0.0,10.08,0.0,0.02,8.0,256.0
in.rhodo-e-6,30.26,35.06,0.0,3.36,0.09,3.45,0.0,0.0,7.66,0.07,0.0,0.05,3.93,0.13,0.02,0.05,69.35,0.0,0.1,0.39,0.0,11.33,0.0,0.01,16.0,256.0
in.rhodo-e-6,41.96,64.64,0.0,5.8,0.11,4.34,0.0,0.0,3.42,0.08,0.0,0.11,4.86,0.36,0.03,0.08,67.96,0.0,0.18,0.25,0.0,12.41,0.0,0.01,32.0,256.0
in.rhodo-e-6,64.13,185.65,0.0,1.85,0.04,2.49,0.0,0.0,2.27,0.07,0.0,0.21,3.59,0.97,0.03,0.05,81.9,0.0,0.25,0.13,0.0,6.14,0.0,0.01,64.0,256.0
in.rhodo-e-6,0.03,0.07,0.04,1.2,0.3,0.0,0.01,0.01,0.0,0.0,2.43,0.11,3.88,8.01,0.06,0.75,74.05,0.0,9.1,0.0,0.0,0.0,0.01,0.02,1.0,864.0
in.rhodo-e-6,2.93,7.19,0.0,1.39,0.04,4.52,0.0,0.0,52.32,0.04,0.0,0.05,4.63,0.09,0.05,0.03,19.84,0.0,0.03,2.89,0.0,14.1,0.0,0.0,2.0,864.0
in.rhodo-e-6,6.47,16.7,0.0,2.4,0.04,1.15,0.0,0.0,75.1,0.06,0.0,0.07,2.33,0.1,0.01,0.02,9.97,0.0,0.03,2.66,0.0,6.06,0.0,0.0,4.0,864.0
in.rhodo-e-6,10.01,27.49,0.0,2.99,0.05,4.26,0.0,0.0,55.64,0.07,0.0,0.11,4.28,0.14,0.03,0.04,20.48,0.0,0.04,2.42,0.0,9.44,0.0,0.01,8.0,864.0
in.rhodo-e-6,16.1,49.71,0.0,3.02,0.08,6.35,0.0,0.0,36.91,0.08,0.0,0.07,6.83,0.19,0.08,0.06,25.88,0.0,0.07,1.44,0.0,18.92,0.0,0.01,16.0,864.0
in.rhodo-e-6,26.56,100.26,0.0,3.15,0.07,4.71,0.0,0.0,15.14,0.08,0.0,0.09,7.31,0.28,0.04,0.05,57.25,0.0,0.12,0.92,0.0,10.78,0.0,0.01,32.0,864.0
in.rhodo-e-6,41.79,227.21,0.0,1.44,0.04,7.16,0.0,0.0,6.67,0.09,0.0,0.17,6.34,0.79,0.05,0.04,66.92,0.0,0.21,0.46,0.0,9.61,0.0,0.01,64.0,864.0
in.rhodo-e-6,0.64,0.06,0.0,1.33,0.34,0.0,0.01,0.01,0.0,0.0,0.04,0.95,0.34,17.27,0.04,1.7,77.91,0.0,0.0,0.0,0.0,0.0,0.01,0.02,1.0,2048.0
in.rhodo-e-6,18.52,1.51,0.0,4.89,0.39,0.0,0.0,0.0,0.36,0.0,0.0,3.89,1.59,1.71,0.12,0.1,84.33,0.0,0.0,2.33,0.0,0.26,0.0,0.01,2.0,2048.0
in.rhodo-e-6,7.52,49.04,0.0,0.55,0.04,0.63,0.0,0.0,91.72,0.03,0.0,0.17,1.89,0.04,0.1,0.01,2.62,0.0,0.01,0.57,0.0,1.63,0.0,0.0,4.0,2048.0
in.rhodo-e-6,10.17,68.78,0.0,0.95,0.03,4.35,0.0,0.0,79.38,0.03,0.0,0.08,1.89,0.11,0.03,0.01,8.54,0.0,0.02,0.53,0.0,4.06,0.0,0.0,8.0,2048.0
in.rhodo-e-6,12.24,86.58,0.0,1.56,0.04,5.55,0.0,0.0,68.05,0.06,0.0,0.06,4.26,0.1,0.04,0.02,12.57,0.0,0.04,0.3,0.0,7.35,0.0,0.0,16.0,2048.0
in.rhodo-e-6,20.42,168.76,0.0,1.64,0.04,8.07,0.0,0.0,36.39,0.07,0.0,0.07,4.77,0.16,0.04,0.03,41.33,0.0,0.07,0.24,0.0,7.09,0.0,0.01,32.0,2048.0
in.rhodo-e-6,27.61,296.63,0.0,1.14,0.03,7.47,0.0,0.0,22.08,0.09,0.0,0.17,6.79,0.63,0.08,0.03,51.19,0.0,0.16,0.22,0.0,9.92,0.0,0.01,64.0,2048.0
in.rhodo-e-7,0.08,0.06,0.02,0.37,0.22,0.0,0.01,0.01,0.0,0.0,2.54,0.03,10.87,1.78,0.86,0.49,74.3,0.0,8.46,0.0,0.0,0.0,0.01,0.02,1.0,32.0
in.rhodo-e-7,4.38,3.81,0.0,1.54,0.08,21.2,0.0,0.0,17.73,0.19,0.0,0.01,4.02,0.02,0.03,0.08,35.85,0.0,0.05,0.55,0.0,18.65,0.0,0.0,2.0,32.0
in.rhodo-e-7,11.02,10.45,0.0,1.72,0.04,9.85,0.0,0.0,46.73,0.21,0.0,0.03,5.92,0.02,0.01,0.06,17.73,0.0,0.05,0.54,0.0,17.07,0.0,0.01,4.0,32.0
in.rhodo-e-7,17.31,18.33,0.0,2.68,0.06,14.35,0.0,0.0,20.57,0.26,0.0,0.02,10.25,0.09,0.01,0.06,32.9,0.0,0.07,0.46,0.0,18.23,0.0,0.01,8.0,32.0
in.rhodo-e-7,30.92,42.3,0.0,2.58,0.07,10.4,0.0,0.0,7.09,0.2,0.0,0.02,7.76,0.08,0.01,0.05,57.46,0.0,0.08,0.25,0.0,13.93,0.0,0.01,16.0,32.0
in.rhodo-e-7,44.06,88.0,0.0,3.44,0.08,8.07,0.0,0.0,5.21,0.24,0.0,0.03,11.24,0.16,0.01,0.07,56.96,0.0,0.14,0.21,0.0,14.12,0.0,0.02,32.0,32.0
in.rhodo-e-7,63.01,231.82,0.0,1.57,0.02,7.24,0.0,0.0,4.21,0.24,0.0,0.14,8.52,0.6,0.02,0.04,66.13,0.0,0.21,0.17,0.0,10.89,0.0,0.02,64.0,32.0
in.rhodo-e-7,0.05,0.06,0.96,0.49,0.3,0.0,0.01,0.01,0.0,0.0,3.47,0.09,3.94,4.88,0.07,0.49,76.54,0.0,8.7,0.0,0.0,0.0,0.01,0.03,1.0,256.0
in.rhodo-e-7,5.3,6.3,0.0,1.07,0.04,5.08,0.0,0.0,54.21,0.05,0.0,0.03,1.37,0.04,0.03,0.03,23.45,0.0,0.03,0.14,0.0,14.42,0.0,0.0,2.0,256.0
in.rhodo-e-7,12.39,16.57,0.0,1.62,0.03,1.29,0.0,0.0,79.68,0.05,0.0,0.05,2.5,0.06,0.05,0.04,10.08,0.0,0.03,0.19,0.0,4.31,0.0,0.01,4.0,256.0
in.rhodo-e-7,17.92,26.09,0.0,1.98,0.04,7.33,0.0,0.0,59.06,0.07,0.0,0.04,3.78,0.06,0.03,0.03,19.37,0.0,0.05,0.23,0.0,7.93,0.0,0.01,8.0,256.0
in.rhodo-e-7,27.67,50.23,0.0,2.81,0.07,6.67,0.0,0.0,32.9,0.07,0.0,0.05,5.16,0.14,0.02,0.06,42.16,0.0,0.07,0.24,0.0,9.56,0.0,0.01,16.0,256.0
in.rhodo-e-7,40.06,96.6,0.0,3.15,0.08,4.64,0.0,0.0,14.35,0.08,0.0,0.05,5.54,0.25,0.02,0.06,63.63,0.0,0.13,0.2,0.0,7.81,0.0,0.01,32.0,256.0
in.rhodo-e-7,56.7,214.14,0.0,1.57,0.03,6.94,0.0,0.0,5.37,0.08,0.0,0.19,6.21,0.64,0.02,0.04,70.94,0.0,0.23,0.13,0.0,7.59,0.0,0.02,64.0,256.0
in.rhodo-e-7,0.02,0.07,0.04,1.2,0.3,0.0,0.01,0.01,0.0,0.0,2.41,0.11,4.05,7.92,0.06,1.36,73.57,0.0,8.91,0.0,0.0,0.0,0.01,0.03,1.0,864.0
in.rhodo-e-7,5.7,23.86,0.0,0.43,0.02,2.44,0.0,0.0,79.3,0.02,0.0,0.02,1.45,0.03,0.01,0.01,6.21,0.0,0.01,0.92,0.0,9.15,0.0,0.0,2.0,864.0
in.rhodo-e-7,12.56,55.71,0.0,0.74,0.01,0.75,0.0,0.0,91.38,0.02,0.0,0.03,1.35,0.02,0.01,0.01,3.27,0.0,0.01,0.81,0.0,1.59,0.0,0.0,4.0,864.0
in.rhodo-e-7,16.57,79.73,0.0,1.03,0.02,4.37,0.0,0.0,83.71,0.03,0.0,0.04,2.58,0.05,0.01,0.02,4.57,0.0,0.02,0.86,0.0,2.7,0.0,0.0,8.0,864.0
in.rhodo-e-7,20.84,111.33,0.0,1.21,0.02,5.86,0.0,0.0,72.94,0.05,0.0,0.04,2.94,0.08,0.04,0.02,10.59,0.0,0.03,0.64,0.0,5.53,0.0,0.01,16.0,864.0
in.rhodo-e-7,27.8,171.09,0.0,1.91,0.04,9.86,0.0,0.0,44.12,0.07,0.0,0.05,4.37,0.16,0.03,0.03,31.03,0.0,0.07,0.55,0.0,7.71,0.0,0.01,32.0,864.0
in.rhodo-e-7,37.6,323.3,0.0,1.47,0.03,8.23,0.0,0.0,27.75,0.09,0.0,0.15,5.66,0.55,0.04,0.03,47.04,0.0,0.14,0.35,0.0,8.46,0.0,0.01,64.0,864.0
in.rhodo-e-7,0.64,0.06,0.0,0.45,0.32,0.0,0.01,0.01,0.0,0.0,0.04,0.93,1.16,16.88,0.06,3.04,77.04,0.0,0.0,0.0,0.0,0.0,0.01,0.03,1.0,2048.0
in.rhodo-e-7,18.5,1.61,0.0,4.84,0.32,0.0,0.0,0.0,0.36,0.0,0.0,3.27,2.14,0.8,0.18,0.11,74.2,0.0,0.0,9.44,0.0,4.31,0.0,0.01,2.0,2048.0
in.rhodo-e-7,12.32,133.2,0.0,0.2,0.01,0.74,0.0,0.0,94.59,0.01,0.0,0.06,1.47,0.01,0.04,0.0,1.04,0.0,0.0,0.23,0.0,1.58,0.0,0.0,4.0,2048.0
in.rhodo-e-7,15.44,176.45,0.0,0.34,0.01,6.79,0.0,0.0,86.88,0.02,0.0,0.03,1.66,0.04,0.02,0.01,3.5,0.0,0.01,0.17,0.0,0.53,0.0,0.0,8.0,2048.0
in.rhodo-e-7,19.95,250.55,0.0,0.59,0.02,5.75,0.0,0.0,82.73,0.02,0.0,0.03,2.94,0.06,0.02,0.01,5.78,0.0,0.01,0.13,0.0,1.91,0.0,0.0,16.0,2048.0
in.rhodo-e-7,26.32,397.92,0.0,0.86,0.02,8.43,0.0,0.0,65.43,0.04,0.0,0.03,4.19,0.09,0.02,0.02,15.08,0.0,0.03,0.1,0.0,5.66,0.0,0.0,32.0,2048.0
in.rhodo-e-7,32.45,671.02,0.0,0.53,0.01,10.95,0.0,0.0,50.42,0.11,0.0,0.08,6.55,0.3,0.02,0.01,22.66,0.0,0.07,0.1,0.0,8.19,0.0,0.01,64.0,2048.0
