Benchmark,MPI_(%),MPI_Time,MPI_Finalize,MPI_Comm_rank,MPI_Reduce,MPI_Comm_free,MPI_Send,MPI_Comm_dup,MPI_Cart_create,MPI_Irecv,MPI_Barrier,MPI_Waitany,MPI_Comm_size,MPI_Alltoall,MPI_Bcast,MPI_Cart_get,MPI_Cart_rank,MPI_Init,MPI_Cart_shift,MPI_Alltoallv,MPI_Sendrecv,MPI_Allgather,MPI_Allreduce,MPI_Wait,Processes,Size
in.rhodo,0.0,0.27,5.07,0.01,0.02,1.51,0.0,0.26,0.13,0.0,0.51,0.0,0.0,0.03,0.24,0.0,0.0,87.0,0.0,1.29,0.0,0.01,3.9,0.0,1.0,32.0
in.rhodo,23.97,27.15,0.07,0.0,0.0,0.0,0.77,0.01,0.02,0.02,0.08,1.61,0.0,0.08,1.27,0.0,0.0,6.08,0.0,0.0,1.82,0.0,16.61,71.56,2.0,32.0
in.rhodo,35.23,40.89,0.01,0.0,0.0,0.0,1.48,0.01,0.01,0.08,0.0,4.06,0.0,0.09,2.79,0.0,0.0,4.09,0.0,0.0,1.75,0.0,16.19,69.43,4.0,32.0
in.rhodo,39.9,49.82,0.06,0.0,0.0,0.0,1.16,0.02,0.02,0.06,0.0,3.37,0.0,0.01,3.72,0.0,0.0,9.65,0.0,0.01,1.38,0.01,21.42,59.1,8.0,32.0
in.rhodo,41.52,58.61,0.07,0.0,0.0,0.0,1.33,0.03,0.02,0.12,0.0,22.66,0.0,0.01,5.73,0.0,0.0,15.13,0.0,0.06,1.47,0.01,17.39,35.96,16.0,32.0
in.rhodo,38.03,69.56,0.1,0.0,0.0,0.0,1.32,0.04,0.05,0.12,0.0,17.26,0.0,0.32,7.79,0.0,0.0,31.96,0.0,0.11,0.12,0.19,20.0,20.63,32.0,32.0
in.rhodo,28.18,79.44,0.17,0.0,0.0,0.0,1.25,0.04,0.02,0.15,0.01,14.31,0.0,0.12,3.53,0.0,0.0,53.14,0.0,0.89,0.31,0.27,12.43,13.35,64.0,32.0
in.rhodo,0.0,0.13,7.75,0.01,0.03,1.61,0.0,0.86,0.27,0.0,0.08,0.0,0.0,0.07,1.1,0.01,0.0,81.46,0.01,3.79,0.0,0.03,2.92,0.0,1.0,256.0
in.rhodo,24.42,26.38,0.05,0.0,0.0,0.0,0.8,0.0,0.05,0.01,0.1,1.65,0.0,0.14,1.12,0.0,0.0,4.35,0.0,0.12,2.0,0.0,17.6,72.03,2.0,256.0
in.rhodo,36.29,38.9,0.04,0.0,0.0,0.0,2.44,0.01,0.01,0.01,0.01,2.39,0.0,0.31,2.3,0.0,0.0,4.09,0.0,0.01,2.08,0.0,18.97,67.33,4.0,256.0
in.rhodo,40.0,45.93,0.02,0.0,0.0,0.0,0.81,0.02,0.01,0.02,0.2,2.13,0.0,0.02,3.74,0.0,0.0,7.95,0.0,0.21,1.95,0.0,19.1,63.83,8.0,256.0
in.rhodo,37.66,50.93,0.07,0.0,0.0,0.0,1.06,0.03,0.05,0.03,0.01,14.63,0.0,0.28,6.92,0.0,0.0,18.14,0.0,0.06,1.88,0.01,16.7,40.12,16.0,256.0
in.rhodo,33.49,60.04,0.11,0.0,0.0,0.0,1.16,0.04,0.07,0.04,0.45,17.81,0.0,0.14,10.22,0.0,0.0,33.5,0.0,0.51,0.83,0.37,8.61,26.14,32.0,256.0
in.rhodo,26.72,75.36,0.19,0.0,0.0,0.0,0.71,0.04,0.03,0.04,0.02,14.69,0.0,0.4,4.23,0.0,0.0,57.03,0.0,0.99,1.28,0.01,7.62,12.71,64.0,256.0
in.rhodo,0.0,0.04,7.66,0.01,0.04,2.1,0.0,1.19,0.25,0.0,0.05,0.0,0.0,0.09,1.04,0.01,0.0,77.08,0.01,7.0,0.0,0.03,3.44,0.0,1.0,864.0
in.rhodo,24.69,25.53,0.02,0.0,0.0,0.0,0.52,0.0,0.03,0.0,0.11,1.74,0.0,0.15,0.29,0.0,0.0,1.43,0.0,0.0,2.65,0.0,19.25,73.81,2.0,864.0
in.rhodo,37.03,38.22,0.01,0.0,0.0,0.0,3.71,0.0,0.03,0.02,0.05,1.27,0.0,0.19,0.74,0.0,0.0,1.19,0.0,0.01,2.75,0.0,19.41,70.63,4.0,864.0
in.rhodo,41.88,44.84,0.02,0.0,0.0,0.0,3.15,0.01,0.01,0.02,0.06,2.46,0.0,0.3,1.4,0.0,0.0,3.47,0.0,0.03,2.42,0.0,18.92,67.73,8.0,864.0
in.rhodo,43.33,48.48,0.15,0.0,0.0,0.0,2.22,0.01,0.01,0.03,0.12,18.27,0.0,0.14,2.64,0.0,0.0,5.7,0.0,0.15,1.41,0.0,18.93,50.21,16.0,864.0
in.rhodo,39.18,56.02,0.04,0.0,0.0,0.0,1.38,0.02,0.03,0.03,0.19,21.07,0.0,0.2,4.11,0.0,0.0,23.54,0.0,0.23,1.41,0.01,16.5,31.25,32.0,864.0
in.rhodo,35.05,63.19,0.3,0.0,0.0,0.0,1.19,0.02,0.02,0.04,0.25,18.37,0.0,0.11,2.36,0.0,0.0,35.73,0.0,0.7,0.97,0.01,20.06,19.85,64.0,864.0
in.rhodo,0.0,0.75,0.0,0.01,0.0,0.03,0.0,2.61,0.27,0.0,0.03,0.0,0.0,0.8,1.05,0.01,0.0,80.18,0.01,14.66,0.0,0.02,0.31,0.0,1.0,2048.0
in.rhodo,20.12,30.9,0.0,0.0,0.0,0.0,0.14,0.03,1.27,0.0,2.69,0.0,0.0,8.81,8.89,0.0,0.0,30.19,0.0,0.17,25.5,0.35,12.73,9.23,2.0,2048.0
in.rhodo,37.43,38.33,0.0,0.0,0.0,0.0,5.46,0.0,0.02,0.0,0.1,0.21,0.0,0.17,0.33,0.0,0.0,0.6,0.0,0.03,3.25,0.0,19.35,70.47,4.0,2048.0
in.rhodo,42.67,44.4,0.01,0.0,0.0,0.0,4.02,0.0,0.02,0.02,0.08,1.33,0.0,0.23,0.62,0.0,0.0,1.29,0.0,0.02,2.78,0.0,19.77,69.8,8.0,2048.0
in.rhodo,44.78,47.5,0.01,0.0,0.0,0.0,3.56,0.0,0.01,0.02,0.07,19.23,0.0,0.15,1.16,0.0,0.0,2.54,0.0,0.11,1.96,0.0,20.01,51.17,16.0,2048.0
in.rhodo,44.48,51.1,0.03,0.0,0.0,0.0,2.25,0.01,0.01,0.03,0.14,28.51,0.0,0.04,2.3,0.0,0.0,8.56,0.0,0.25,0.94,0.08,20.15,36.7,32.0,2048.0
in.rhodo,40.2,55.2,0.07,0.0,0.0,0.0,1.42,0.01,0.01,0.04,0.03,29.76,0.0,0.11,1.21,0.0,0.0,20.35,0.0,0.8,0.36,0.0,20.14,25.69,64.0,2048.0
in.rhodo-e-5,0.0,0.42,2.62,0.01,0.01,0.91,0.0,0.24,0.17,0.0,0.33,0.0,0.0,0.02,0.19,0.0,0.0,91.44,0.0,1.03,0.0,0.01,3.01,0.0,1.0,32.0
in.rhodo-e-5,0.3,5.14,0.07,0.0,0.0,0.0,7.92,0.12,0.1,0.21,0.05,4.31,0.0,0.01,2.24,0.0,0.0,62.23,0.0,0.03,0.93,0.01,7.06,14.7,2.0,32.0
in.rhodo-e-5,1.59,9.36,0.08,0.0,0.0,0.0,10.5,0.12,0.07,0.28,0.02,8.0,0.0,0.03,4.08,0.0,0.0,39.73,0.0,0.11,1.33,0.02,7.99,27.61,4.0,32.0
in.rhodo-e-5,1.96,17.21,0.11,0.0,0.0,0.0,8.02,0.11,0.1,0.31,0.01,8.74,0.0,0.07,4.7,0.0,0.0,44.88,0.0,0.09,0.92,0.02,6.26,25.65,8.0,32.0
in.rhodo-e-5,2.96,28.21,0.16,0.0,0.0,0.0,6.78,0.15,0.11,0.35,0.01,8.5,0.0,0.06,4.84,0.0,0.0,49.77,0.0,0.18,0.57,0.03,8.55,19.93,16.0,32.0
in.rhodo-e-5,3.72,60.82,0.12,0.0,0.0,0.0,2.2,0.05,0.08,0.18,0.01,3.15,0.0,0.03,3.48,0.0,0.0,78.31,0.0,0.13,0.17,0.01,5.92,6.16,32.0,32.0
in.rhodo-e-5,5.58,71.84,0.25,0.0,0.0,0.0,1.91,0.05,0.03,0.19,0.34,2.58,0.0,0.14,1.27,0.0,0.0,77.59,0.0,0.64,0.19,0.02,8.59,6.22,64.0,32.0
in.rhodo-e-5,0.0,0.11,9.82,0.01,0.02,1.8,0.0,1.48,0.3,0.0,0.11,0.0,0.0,0.07,1.29,0.01,0.0,77.37,0.01,4.25,0.0,0.03,3.41,0.0,1.0,256.0
in.rhodo-e-5,0.38,3.75,0.08,0.0,0.0,0.0,5.64,0.14,0.11,0.08,0.06,5.14,0.0,0.05,2.67,0.0,0.0,67.32,0.0,0.11,0.48,0.01,5.73,12.36,2.0,256.0
in.rhodo-e-5,1.6,5.95,0.14,0.0,0.0,0.0,24.56,0.15,0.13,0.13,0.04,4.42,0.0,0.21,7.09,0.0,0.0,40.96,0.0,0.19,0.9,0.02,8.42,12.63,4.0,256.0
in.rhodo-e-5,1.88,13.73,0.12,0.0,0.0,0.0,6.18,0.1,0.12,0.11,0.03,5.88,0.0,0.14,6.25,0.0,0.0,60.52,0.0,0.18,0.69,0.03,6.39,13.24,8.0,256.0
in.rhodo-e-5,2.86,25.05,0.15,0.0,0.0,0.0,4.53,0.15,0.14,0.1,0.02,4.11,0.0,0.1,5.5,0.0,0.0,67.76,0.0,0.28,0.53,0.03,5.04,11.56,16.0,256.0
in.rhodo-e-5,4.23,41.17,0.23,0.0,0.0,0.0,2.26,0.1,0.12,0.08,0.03,2.45,0.0,0.09,5.11,0.0,0.0,73.68,0.0,0.41,0.4,0.03,4.74,10.25,32.0,256.0
in.rhodo-e-5,4.79,67.33,0.26,0.0,0.0,0.0,1.45,0.05,0.04,0.06,0.03,1.97,0.0,0.2,1.55,0.0,0.0,82.42,0.0,0.75,0.14,0.02,4.94,6.13,64.0,256.0
in.rhodo-e-5,0.0,0.03,8.01,0.01,0.79,3.09,0.0,0.53,0.28,0.0,0.08,0.0,0.0,0.12,0.41,0.01,0.0,73.04,0.01,9.35,0.0,0.03,4.23,0.0,1.0,864.0
in.rhodo-e-5,0.69,2.0,0.05,0.0,0.0,0.0,9.14,0.05,0.05,0.06,0.06,9.74,0.0,0.07,2.13,0.0,0.0,35.61,0.0,0.16,4.89,0.0,6.33,31.67,2.0,864.0
in.rhodo-e-5,2.08,4.51,0.05,0.0,0.0,0.0,49.04,0.03,0.07,0.07,0.03,1.34,0.0,0.16,4.38,0.0,0.0,16.36,0.0,0.15,4.81,0.01,6.9,16.59,4.0,864.0
in.rhodo-e-5,2.0,7.46,0.08,0.0,0.0,0.0,30.83,0.06,0.09,0.09,0.05,5.9,0.0,0.17,5.3,0.0,0.0,27.55,0.0,0.2,4.01,0.02,8.66,16.98,8.0,864.0
in.rhodo-e-5,2.39,12.86,0.11,0.0,0.01,0.0,15.59,0.11,0.1,0.1,0.13,5.75,0.0,0.12,4.77,0.0,0.0,49.06,0.0,0.27,2.38,0.03,6.63,14.86,16.0,864.0
in.rhodo-e-5,3.69,25.76,0.16,0.0,0.0,0.0,4.11,0.06,0.09,0.07,0.05,4.16,0.0,0.1,4.25,0.0,0.0,66.54,0.0,0.33,1.18,0.02,7.46,11.4,32.0,864.0
in.rhodo-e-5,5.79,44.69,0.23,0.0,0.0,0.0,2.81,0.04,0.04,0.07,0.04,2.84,0.0,0.19,2.34,0.0,0.0,73.0,0.0,0.84,0.53,0.02,6.75,10.25,64.0,864.0
in.rhodo-e-5,0.0,0.64,0.0,0.01,0.0,0.04,0.0,1.62,0.33,0.0,0.04,0.0,0.0,0.95,1.27,0.01,0.0,77.99,0.01,17.36,0.0,0.02,0.34,0.0,1.0,2048.0
in.rhodo-e-5,2.25,19.63,0.0,0.0,0.0,0.0,0.34,0.1,0.4,0.0,0.54,0.0,0.0,3.13,4.99,0.0,0.0,85.44,0.0,0.76,2.34,0.0,1.61,0.34,2.0,2048.0
in.rhodo-e-5,1.89,3.51,0.03,0.0,0.0,0.0,68.23,0.02,0.11,0.05,0.28,0.88,0.0,0.49,1.6,0.0,0.0,7.73,0.0,0.1,1.8,0.0,5.1,13.58,4.0,2048.0
in.rhodo-e-5,1.41,5.4,0.05,0.0,0.0,0.0,45.67,0.03,0.04,0.08,0.1,4.6,0.0,0.21,1.78,0.0,0.0,23.2,0.0,0.22,1.25,0.01,4.63,18.14,8.0,2048.0
in.rhodo-e-5,1.15,6.89,0.09,0.0,0.0,0.0,34.08,0.05,0.1,0.1,0.08,6.8,0.0,0.13,4.33,0.0,0.0,33.98,0.0,0.22,0.63,0.01,5.38,14.01,16.0,2048.0
in.rhodo-e-5,2.25,15.13,0.13,0.0,0.0,0.0,12.21,0.05,0.04,0.09,0.06,6.03,0.0,0.11,3.37,0.0,0.0,57.52,0.0,0.35,0.38,0.01,5.77,13.88,32.0,2048.0
in.rhodo-e-5,3.9,27.23,0.21,0.0,0.0,0.0,5.58,0.04,0.04,0.09,0.1,5.47,0.0,0.22,1.58,0.0,0.0,66.05,0.0,0.8,0.34,0.01,7.87,11.59,64.0,2048.0
in.rhodo-e-6,0.0,0.12,8.94,0.01,0.02,2.64,0.0,0.29,0.29,0.0,0.08,0.0,0.0,0.04,1.2,0.01,0.0,76.51,0.01,1.87,0.0,0.01,8.07,0.0,1.0,32.0
in.rhodo-e-6,0.32,4.95,0.07,0.0,0.0,0.0,9.98,0.09,0.09,0.21,0.04,10.23,0.0,0.01,2.01,0.0,0.0,52.42,0.0,0.03,0.87,0.0,5.1,18.84,2.0,32.0
in.rhodo-e-6,1.65,8.29,0.12,0.0,0.0,0.0,13.51,0.06,0.08,0.29,0.02,12.75,0.0,0.03,4.53,0.0,0.0,28.68,0.0,0.07,1.02,0.01,6.96,31.86,4.0,32.0
in.rhodo-e-6,2.41,16.52,0.12,0.0,0.0,0.0,10.44,0.08,0.08,0.31,0.02,11.06,0.0,0.06,4.55,0.0,0.0,37.04,0.0,0.09,0.75,0.02,7.87,27.51,8.0,32.0
in.rhodo-e-6,3.28,30.87,0.12,0.0,0.0,0.0,6.41,0.1,0.11,0.27,0.01,7.88,0.0,0.04,3.98,0.0,0.0,53.24,0.0,0.15,0.43,0.02,7.47,19.76,16.0,32.0
in.rhodo-e-6,3.1,46.97,0.19,0.0,0.0,0.0,4.06,0.07,0.05,0.28,0.01,5.33,0.0,0.04,4.7,0.0,0.0,64.06,0.0,0.2,0.24,0.02,5.06,15.68,32.0,32.0
in.rhodo-e-6,1.99,68.76,0.26,0.0,0.0,0.0,2.31,0.05,0.03,0.2,0.03,2.87,0.0,0.19,1.76,0.0,0.0,81.87,0.0,0.69,0.19,0.01,3.17,6.39,64.0,32.0
in.rhodo-e-6,0.0,0.09,8.71,0.01,0.03,2.63,0.0,0.31,0.3,0.0,0.91,0.0,0.0,0.08,0.47,0.01,0.0,78.8,0.01,4.21,0.0,0.02,3.5,0.0,1.0,256.0
in.rhodo-e-6,0.3,3.21,0.08,0.0,0.0,0.0,12.8,0.13,0.06,0.08,0.06,13.27,0.0,0.07,1.99,0.0,0.0,54.96,0.0,0.11,0.41,0.0,2.71,13.26,2.0,256.0
in.rhodo-e-6,1.75,8.53,0.08,0.0,0.0,0.0,56.07,0.07,0.08,0.09,0.03,1.27,0.0,0.11,4.17,0.0,0.0,22.92,0.0,0.11,0.57,0.01,3.73,10.7,4.0,256.0
in.rhodo-e-6,1.29,14.77,0.09,0.0,0.0,0.0,25.98,0.08,0.07,0.1,0.03,5.9,0.0,0.09,3.91,0.0,0.0,50.33,0.0,0.19,0.44,0.02,2.69,10.08,8.0,256.0
in.rhodo-e-6,3.28,30.26,0.1,0.0,0.0,0.0,7.66,0.05,0.09,0.07,0.02,3.45,0.0,0.05,3.36,0.0,0.0,69.35,0.0,0.13,0.39,0.01,3.93,11.33,16.0,256.0
in.rhodo-e-6,5.34,41.96,0.18,0.0,0.0,0.0,3.42,0.08,0.11,0.08,0.03,4.34,0.0,0.11,5.8,0.0,0.0,67.96,0.0,0.36,0.25,0.01,4.86,12.41,32.0,256.0
in.rhodo-e-6,4.03,64.13,0.25,0.0,0.0,0.0,2.27,0.05,0.04,0.07,0.03,2.49,0.0,0.21,1.85,0.0,0.0,81.9,0.0,0.97,0.13,0.01,3.59,6.14,64.0,256.0
in.rhodo-e-6,0.0,0.03,9.1,0.01,0.04,2.43,0.0,0.75,0.3,0.0,0.06,0.0,0.0,0.11,1.2,0.01,0.0,74.05,0.01,8.01,0.0,0.02,3.88,0.0,1.0,864.0
in.rhodo-e-6,1.11,2.93,0.03,0.0,0.0,0.0,52.32,0.03,0.04,0.04,0.05,4.52,0.0,0.05,1.39,0.0,0.0,19.84,0.0,0.09,2.89,0.0,4.63,14.1,2.0,864.0
in.rhodo-e-6,2.74,6.47,0.03,0.0,0.0,0.0,75.1,0.02,0.04,0.06,0.01,1.15,0.0,0.07,2.4,0.0,0.0,9.97,0.0,0.1,2.66,0.0,2.33,6.06,4.0,864.0
in.rhodo-e-6,2.22,10.01,0.04,0.0,0.0,0.0,55.64,0.04,0.05,0.07,0.03,4.26,0.0,0.11,2.99,0.0,0.0,20.48,0.0,0.14,2.42,0.01,4.28,9.44,8.0,864.0
in.rhodo-e-6,4.17,16.1,0.07,0.0,0.0,0.0,36.91,0.06,0.08,0.08,0.08,6.35,0.0,0.07,3.02,0.0,0.0,25.88,0.0,0.19,1.44,0.01,6.83,18.92,16.0,864.0
in.rhodo-e-6,3.62,26.56,0.12,0.0,0.0,0.0,15.14,0.05,0.07,0.08,0.04,4.71,0.0,0.09,3.15,0.0,0.0,57.25,0.0,0.28,0.92,0.01,7.31,10.78,32.0,864.0
in.rhodo-e-6,4.7,41.79,0.21,0.0,0.0,0.0,6.67,0.04,0.04,0.09,0.05,7.16,0.0,0.17,1.44,0.0,0.0,66.92,0.0,0.79,0.46,0.01,6.34,9.61,64.0,864.0
in.rhodo-e-6,0.0,0.64,0.0,0.01,0.0,0.04,0.0,1.7,0.34,0.0,0.04,0.0,0.0,0.95,1.33,0.01,0.0,77.91,0.01,17.27,0.0,0.02,0.34,0.0,1.0,2048.0
in.rhodo-e-6,2.2,18.52,0.0,0.0,0.0,0.0,0.36,0.1,0.39,0.0,0.12,0.0,0.0,3.89,4.89,0.0,0.0,84.33,0.0,1.71,2.33,0.01,1.59,0.26,2.0,2048.0
in.rhodo-e-6,4.97,7.52,0.01,0.0,0.0,0.0,91.72,0.01,0.04,0.03,0.1,0.63,0.0,0.17,0.55,0.0,0.0,2.62,0.0,0.04,0.57,0.0,1.89,1.63,4.0,2048.0
in.rhodo-e-6,4.94,10.17,0.02,0.0,0.0,0.0,79.38,0.01,0.03,0.03,0.03,4.35,0.0,0.08,0.95,0.0,0.0,8.54,0.0,0.11,0.53,0.0,1.89,4.06,8.0,2048.0
in.rhodo-e-6,3.81,12.24,0.04,0.0,0.0,0.0,68.05,0.02,0.04,0.06,0.04,5.55,0.0,0.06,1.56,0.0,0.0,12.57,0.0,0.1,0.3,0.0,4.26,7.35,16.0,2048.0
in.rhodo-e-6,2.84,20.42,0.07,0.0,0.0,0.0,36.39,0.03,0.04,0.07,0.04,8.07,0.0,0.07,1.64,0.0,0.0,41.33,0.0,0.16,0.24,0.01,4.77,7.09,32.0,2048.0
in.rhodo-e-6,3.3,27.61,0.16,0.0,0.0,0.0,22.08,0.03,0.03,0.09,0.08,7.47,0.0,0.17,1.14,0.0,0.0,51.19,0.0,0.63,0.22,0.01,6.79,9.92,64.0,2048.0
in.rhodo-e-7,0.0,0.08,8.46,0.01,0.02,2.54,0.0,0.49,0.22,0.0,0.86,0.0,0.0,0.03,0.37,0.01,0.0,74.3,0.01,1.78,0.0,0.02,10.87,0.0,1.0,32.0
in.rhodo-e-7,0.22,4.38,0.05,0.0,0.0,0.0,17.73,0.08,0.08,0.19,0.03,21.2,0.0,0.01,1.54,0.0,0.0,35.85,0.0,0.02,0.55,0.0,4.02,18.65,2.0,32.0
in.rhodo-e-7,1.04,11.02,0.05,0.0,0.0,0.0,46.73,0.06,0.04,0.21,0.01,9.85,0.0,0.03,1.72,0.0,0.0,17.73,0.0,0.02,0.54,0.01,5.92,17.07,4.0,32.0
in.rhodo-e-7,2.18,17.31,0.07,0.0,0.0,0.0,20.57,0.06,0.06,0.26,0.01,14.35,0.0,0.02,2.68,0.0,0.0,32.9,0.0,0.09,0.46,0.01,10.25,18.23,8.0,32.0
in.rhodo-e-7,2.92,30.92,0.08,0.0,0.0,0.0,7.09,0.05,0.07,0.2,0.01,10.4,0.0,0.02,2.58,0.0,0.0,57.46,0.0,0.08,0.25,0.01,7.76,13.93,16.0,32.0
in.rhodo-e-7,4.87,44.06,0.14,0.0,0.0,0.0,5.21,0.07,0.08,0.24,0.01,8.07,0.0,0.03,3.44,0.0,0.0,56.96,0.0,0.16,0.21,0.02,11.24,14.12,32.0,32.0
in.rhodo-e-7,5.2,63.01,0.21,0.0,0.0,0.0,4.21,0.04,0.02,0.24,0.02,7.24,0.0,0.14,1.57,0.0,0.0,66.13,0.0,0.6,0.17,0.02,8.52,10.89,64.0,32.0
in.rhodo-e-7,0.0,0.05,8.7,0.01,0.96,3.47,0.0,0.49,0.3,0.0,0.07,0.0,0.0,0.09,0.49,0.01,0.0,76.54,0.01,4.88,0.0,0.03,3.94,0.0,1.0,256.0
in.rhodo-e-7,1.75,5.3,0.03,0.0,0.0,0.0,54.21,0.03,0.04,0.05,0.03,5.08,0.0,0.03,1.07,0.0,0.0,23.45,0.0,0.04,0.14,0.0,1.37,14.42,2.0,256.0
in.rhodo-e-7,4.87,12.39,0.03,0.0,0.0,0.0,79.68,0.04,0.03,0.05,0.05,1.29,0.0,0.05,1.62,0.0,0.0,10.08,0.0,0.06,0.19,0.01,2.5,4.31,4.0,256.0
in.rhodo-e-7,4.14,17.92,0.05,0.0,0.0,0.0,59.06,0.03,0.04,0.07,0.03,7.33,0.0,0.04,1.98,0.0,0.0,19.37,0.0,0.06,0.23,0.01,3.78,7.93,8.0,256.0
in.rhodo-e-7,3.66,27.67,0.07,0.0,0.0,0.0,32.9,0.06,0.07,0.07,0.02,6.67,0.0,0.05,2.81,0.0,0.0,42.16,0.0,0.14,0.24,0.01,5.16,9.56,16.0,256.0
in.rhodo-e-7,3.78,40.06,0.13,0.0,0.0,0.0,14.35,0.06,0.08,0.08,0.02,4.64,0.0,0.05,3.15,0.0,0.0,63.63,0.0,0.25,0.2,0.01,5.54,7.81,32.0,256.0
in.rhodo-e-7,5.35,56.7,0.23,0.0,0.0,0.0,5.37,0.04,0.03,0.08,0.02,6.94,0.0,0.19,1.57,0.0,0.0,70.94,0.0,0.64,0.13,0.02,6.21,7.59,64.0,256.0
in.rhodo-e-7,0.0,0.02,8.91,0.01,0.04,2.41,0.0,1.36,0.3,0.0,0.06,0.0,0.0,0.11,1.2,0.01,0.0,73.57,0.01,7.92,0.0,0.03,4.05,0.0,1.0,864.0
in.rhodo-e-7,3.65,5.7,0.01,0.0,0.0,0.0,79.3,0.01,0.02,0.02,0.01,2.44,0.0,0.02,0.43,0.0,0.0,6.21,0.0,0.03,0.92,0.0,1.45,9.15,2.0,864.0
in.rhodo-e-7,8.29,12.56,0.01,0.0,0.0,0.0,91.38,0.01,0.01,0.02,0.01,0.75,0.0,0.03,0.74,0.0,0.0,3.27,0.0,0.02,0.81,0.0,1.35,1.59,4.0,864.0
in.rhodo-e-7,9.25,16.57,0.02,0.0,0.0,0.0,83.71,0.02,0.02,0.03,0.01,4.37,0.0,0.04,1.03,0.0,0.0,4.57,0.0,0.05,0.86,0.0,2.58,2.7,8.0,864.0
in.rhodo-e-7,8.37,20.84,0.03,0.0,0.0,0.0,72.94,0.02,0.02,0.05,0.04,5.86,0.0,0.04,1.21,0.0,0.0,10.59,0.0,0.08,0.64,0.01,2.94,5.53,16.0,864.0
in.rhodo-e-7,4.86,27.8,0.07,0.0,0.0,0.0,44.12,0.03,0.04,0.07,0.03,9.86,0.0,0.05,1.91,0.0,0.0,31.03,0.0,0.16,0.55,0.01,4.37,7.71,32.0,864.0
in.rhodo-e-7,4.19,37.6,0.14,0.0,0.0,0.0,27.75,0.03,0.03,0.09,0.04,8.23,0.0,0.15,1.47,0.0,0.0,47.04,0.0,0.55,0.35,0.01,5.66,8.46,64.0,864.0
in.rhodo-e-7,0.0,0.64,0.0,0.01,0.0,0.04,0.0,3.04,0.32,0.0,0.06,0.0,0.0,0.93,0.45,0.01,0.0,77.04,0.01,16.88,0.0,0.03,1.16,0.0,1.0,2048.0
in.rhodo-e-7,4.1,18.5,0.0,0.0,0.0,0.0,0.36,0.11,0.32,0.0,0.18,0.0,0.0,3.27,4.84,0.0,0.0,74.2,0.0,0.8,9.44,0.01,2.14,4.31,2.0,2048.0
in.rhodo-e-7,8.98,12.32,0.0,0.0,0.0,0.0,94.59,0.0,0.01,0.01,0.04,0.74,0.0,0.06,0.2,0.0,0.0,1.04,0.0,0.01,0.23,0.0,1.47,1.58,4.0,2048.0
in.rhodo-e-7,9.83,15.44,0.01,0.0,0.0,0.0,86.88,0.01,0.01,0.02,0.02,6.79,0.0,0.03,0.34,0.0,0.0,3.5,0.0,0.04,0.17,0.0,1.66,0.53,8.0,2048.0
in.rhodo-e-7,11.6,19.95,0.01,0.0,0.0,0.0,82.73,0.01,0.02,0.02,0.02,5.75,0.0,0.03,0.59,0.0,0.0,5.78,0.0,0.06,0.13,0.0,2.94,1.91,16.0,2048.0
in.rhodo-e-7,10.91,26.32,0.03,0.0,0.0,0.0,65.43,0.02,0.02,0.04,0.02,8.43,0.0,0.03,0.86,0.0,0.0,15.08,0.0,0.09,0.1,0.0,4.19,5.66,32.0,2048.0
in.rhodo-e-7,10.03,32.45,0.07,0.0,0.0,0.0,50.42,0.01,0.01,0.11,0.02,10.95,0.0,0.08,0.53,0.0,0.0,22.66,0.0,0.3,0.1,0.01,6.55,8.19,64.0,2048.0
