Benchmark,MPI_(%),MPI_Time,MPI_Init,MPI_Comm_size,MPI_Send,MPI_Cart_rank,MPI_Cart_create,MPI_Allgather,MPI_Comm_rank,MPI_Barrier,MPI_Cart_get,MPI_Finalize,MPI_Alltoallv,MPI_Allreduce,MPI_Wait,MPI_Comm_dup,MPI_Comm_free,MPI_Reduce,MPI_Bcast,MPI_Alltoall,MPI_Irecv,MPI_Cart_shift,MPI_Sendrecv,MPI_Waitany,Processes,Size
in.rhodo,0.27,0.11,87.0,0.0,0.0,0.0,0.13,0.01,0.01,0.51,0.0,5.07,1.29,3.9,0.0,0.26,1.51,0.02,0.24,0.03,0.0,0.0,0.0,0.0,1.0,32.0
in.rhodo,27.15,21.44,6.08,0.0,0.77,0.0,0.02,0.0,0.0,0.08,0.0,0.07,0.0,16.61,71.56,0.01,0.0,0.0,1.27,0.08,0.02,0.0,1.82,1.61,2.0,32.0
in.rhodo,40.89,34.02,4.09,0.0,1.48,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,16.19,69.43,0.01,0.0,0.0,2.79,0.09,0.08,0.0,1.75,4.06,4.0,32.0
in.rhodo,49.82,47.46,9.65,0.0,1.16,0.0,0.02,0.01,0.0,0.0,0.0,0.06,0.01,21.42,59.1,0.02,0.0,0.0,3.72,0.01,0.06,0.0,1.38,3.37,8.0,32.0
in.rhodo,58.61,70.3,15.13,0.0,1.33,0.0,0.02,0.01,0.0,0.0,0.0,0.07,0.06,17.39,35.96,0.03,0.0,0.0,5.73,0.01,0.12,0.0,1.47,22.66,16.0,32.0
in.rhodo,69.56,133.86,31.96,0.0,1.32,0.0,0.05,0.19,0.0,0.0,0.0,0.1,0.11,20.0,20.63,0.04,0.0,0.0,7.79,0.32,0.12,0.0,0.12,17.26,32.0,32.0
in.rhodo,79.44,271.05,53.14,0.0,1.25,0.0,0.02,0.27,0.0,0.01,0.0,0.17,0.89,12.43,13.35,0.04,0.0,0.0,3.53,0.12,0.15,0.0,0.31,14.31,64.0,32.0
in.rhodo,0.13,0.07,81.46,0.0,0.0,0.0,0.27,0.03,0.01,0.08,0.01,7.75,3.79,2.92,0.0,0.86,1.61,0.03,1.1,0.07,0.0,0.01,0.0,0.0,1.0,256.0
in.rhodo,26.38,28.71,4.35,0.0,0.8,0.0,0.05,0.0,0.0,0.1,0.0,0.05,0.12,17.6,72.03,0.0,0.0,0.0,1.12,0.14,0.01,0.0,2.0,1.65,2.0,256.0
in.rhodo,38.9,43.91,4.09,0.0,2.44,0.0,0.01,0.0,0.0,0.01,0.0,0.04,0.01,18.97,67.33,0.01,0.0,0.0,2.3,0.31,0.01,0.0,2.08,2.39,4.0,256.0
in.rhodo,45.93,55.08,7.95,0.0,0.81,0.0,0.01,0.0,0.0,0.2,0.0,0.02,0.21,19.1,63.83,0.02,0.0,0.0,3.74,0.02,0.02,0.0,1.95,2.13,8.0,256.0
in.rhodo,50.93,69.76,18.14,0.0,1.06,0.0,0.05,0.01,0.0,0.01,0.0,0.07,0.06,16.7,40.12,0.03,0.0,0.0,6.92,0.28,0.03,0.0,1.88,14.63,16.0,256.0
in.rhodo,60.04,111.62,33.5,0.0,1.16,0.0,0.07,0.37,0.0,0.45,0.0,0.11,0.51,8.61,26.14,0.04,0.0,0.0,10.22,0.14,0.04,0.0,0.83,17.81,32.0,256.0
in.rhodo,75.36,260.62,57.03,0.0,0.71,0.0,0.03,0.01,0.0,0.02,0.0,0.19,0.99,7.62,12.71,0.04,0.0,0.0,4.23,0.4,0.04,0.0,1.28,14.69,64.0,256.0
in.rhodo,0.02,0.11,58.4,0.0,0.0,0.0,0.1,0.01,0.01,0.03,0.0,31.76,4.7,2.82,0.0,0.46,0.97,0.02,0.62,0.08,0.0,0.0,0.0,0.0,1.0,864.0
in.rhodo,0.03,0.1,49.46,0.0,0.0,0.0,0.12,0.01,0.01,0.04,0.0,22.13,22.09,2.9,0.0,0.2,2.21,0.55,0.2,0.08,0.0,0.0,0.0,0.0,1.0,864.0
in.rhodo,0.04,0.08,77.08,0.0,0.0,0.0,0.25,0.03,0.01,0.05,0.01,7.66,7.0,3.44,0.0,1.19,2.1,0.04,1.04,0.09,0.0,0.01,0.0,0.0,1.0,864.0
in.rhodo,5.87,28.7,3.97,0.0,17.53,0.0,0.07,0.02,0.0,0.11,0.0,0.09,0.31,28.39,28.09,0.01,0.0,0.0,5.21,0.64,0.01,0.0,2.08,13.48,2.0,864.0
in.rhodo,7.84,29.53,3.96,0.0,14.8,0.0,0.15,0.0,0.0,0.43,0.0,0.1,1.02,27.83,23.92,0.01,0.0,0.0,10.42,0.71,0.01,0.0,2.33,14.32,2.0,864.0
in.rhodo,25.53,93.75,1.43,0.0,0.52,0.0,0.03,0.0,0.0,0.11,0.0,0.02,0.0,19.25,73.81,0.0,0.0,0.0,0.29,0.15,0.0,0.0,2.65,1.74,2.0,864.0
in.rhodo,33.92,178.45,0.68,0.0,10.44,0.0,0.02,0.18,0.0,0.15,0.0,0.05,0.0,19.53,55.95,0.14,0.0,0.0,4.55,0.25,0.01,0.0,2.28,5.75,4.0,864.0
in.rhodo,32.54,127.16,0.98,0.0,10.14,0.0,0.02,0.02,0.0,0.09,0.0,0.07,0.05,21.8,54.48,0.0,0.0,0.0,4.21,0.25,0.03,0.0,3.78,4.09,4.0,864.0
in.rhodo,38.22,142.8,1.19,0.0,3.71,0.0,0.03,0.0,0.0,0.05,0.0,0.01,0.01,19.41,70.63,0.0,0.0,0.0,0.74,0.19,0.02,0.0,2.75,1.27,4.0,864.0
in.rhodo,49.6,290.45,1.07,0.0,7.89,0.0,0.06,0.0,0.0,0.11,0.0,0.01,0.02,19.47,55.62,0.0,0.0,0.0,2.97,0.32,0.03,0.0,2.94,9.46,8.0,864.0
in.rhodo,47.16,198.21,1.53,0.0,6.18,0.0,0.08,0.1,0.0,0.15,0.0,0.01,0.01,22.26,54.0,0.0,0.0,0.0,4.27,0.35,0.01,0.0,4.62,6.42,8.0,864.0
in.rhodo,44.84,171.23,3.47,0.0,3.15,0.0,0.01,0.0,0.0,0.06,0.0,0.02,0.03,18.92,67.73,0.01,0.0,0.0,1.4,0.3,0.02,0.0,2.42,2.46,8.0,864.0
in.rhodo,55.82,343.86,3.04,0.0,2.03,0.0,0.1,0.05,0.0,0.2,0.0,0.01,2.54,26.71,39.86,0.0,0.0,0.0,4.48,0.69,0.02,0.0,1.7,18.56,16.0,864.0
in.rhodo,60.79,320.14,3.29,0.0,2.68,0.0,0.13,0.2,0.0,0.19,0.0,0.02,1.48,27.78,34.43,0.19,0.0,0.0,9.86,0.59,0.02,0.0,1.95,17.21,16.0,864.0
in.rhodo,48.48,195.72,5.7,0.0,2.22,0.0,0.01,0.0,0.0,0.12,0.0,0.15,0.15,18.93,50.21,0.01,0.0,0.0,2.64,0.14,0.03,0.0,1.41,18.27,16.0,864.0
in.rhodo,62.67,458.17,8.06,0.0,0.97,0.0,0.01,0.07,0.0,0.14,0.0,0.03,1.44,26.15,26.9,0.01,0.0,0.0,12.51,0.59,0.02,0.0,0.78,22.33,32.0,864.0
in.rhodo,70.31,488.15,7.63,0.0,0.93,0.0,0.01,0.13,0.0,0.46,0.0,0.03,3.01,30.51,23.83,0.01,0.0,0.0,13.21,0.95,0.02,0.0,0.78,18.51,32.0,864.0
in.rhodo,56.02,275.71,23.54,0.0,1.38,0.0,0.03,0.01,0.0,0.19,0.0,0.04,0.23,16.5,31.25,0.02,0.0,0.0,4.11,0.2,0.03,0.0,1.41,21.07,32.0,864.0
in.rhodo,72.6,839.11,17.53,0.0,0.71,0.0,0.21,0.4,0.0,0.5,0.0,0.15,3.26,31.63,20.19,0.55,0.0,0.0,2.41,0.75,0.02,0.0,1.36,20.33,64.0,864.0
in.rhodo,73.56,641.03,22.76,0.0,0.9,0.0,0.31,0.01,0.0,0.94,0.0,0.29,8.55,23.22,17.76,0.01,0.0,0.0,7.59,1.71,0.03,0.0,0.94,14.98,64.0,864.0
in.rhodo,63.19,419.44,35.73,0.0,1.19,0.0,0.02,0.01,0.0,0.25,0.0,0.3,0.7,20.06,19.85,0.02,0.0,0.0,2.36,0.11,0.04,0.0,0.97,18.37,64.0,864.0
in.rhodo,0.48,0.09,51.67,0.0,0.0,0.0,0.12,0.01,0.01,0.04,0.0,0.0,45.47,0.74,0.0,1.05,0.01,0.0,0.73,0.13,0.0,0.0,0.0,0.0,1.0,2048.0
in.rhodo,0.41,0.08,61.74,0.0,0.0,0.0,0.15,0.65,0.01,0.04,0.0,0.0,34.16,0.9,0.0,1.92,0.01,0.0,0.23,0.16,0.0,0.0,0.0,0.0,1.0,2048.0
in.rhodo,0.75,0.07,80.18,0.0,0.0,0.0,0.27,0.02,0.01,0.03,0.01,0.0,14.66,0.31,0.0,2.61,0.03,0.0,1.05,0.8,0.0,0.01,0.0,0.0,1.0,2048.0
in.rhodo,17.32,2.35,49.1,0.0,0.22,0.0,0.86,0.0,0.0,1.35,0.0,0.0,8.75,11.32,1.8,0.05,0.0,0.0,19.91,5.6,0.0,0.0,1.03,0.0,2.0,2048.0
in.rhodo,16.1,2.15,51.89,0.0,0.4,0.0,0.03,0.0,0.0,0.65,0.0,0.0,0.83,10.62,1.53,0.07,0.0,0.0,25.33,7.41,0.0,0.0,1.23,0.0,2.0,2048.0
in.rhodo,30.9,3.96,30.19,0.0,0.14,0.0,1.27,0.35,0.0,2.69,0.0,0.0,0.17,12.73,9.23,0.03,0.0,0.0,8.89,8.81,0.0,0.0,25.5,0.0,2.0,2048.0
in.rhodo,30.81,369.56,0.31,0.0,14.83,0.0,0.02,0.01,0.0,0.08,0.0,0.01,0.01,18.75,60.14,0.0,0.0,0.0,0.51,0.18,0.02,0.0,2.51,2.61,4.0,2048.0
in.rhodo,32.9,307.54,0.38,0.0,17.53,0.0,0.02,0.0,0.0,0.1,0.0,0.01,0.02,20.62,53.3,0.03,0.0,0.0,2.0,0.17,0.01,0.0,2.91,2.9,4.0,2048.0
in.rhodo,38.33,338.06,0.6,0.0,5.46,0.0,0.02,0.0,0.0,0.1,0.0,0.0,0.03,19.35,70.47,0.0,0.0,0.0,0.33,0.17,0.0,0.0,3.25,0.21,4.0,2048.0
in.rhodo,41.64,498.84,0.61,0.0,5.87,0.0,0.02,0.05,0.0,0.14,0.0,0.0,0.08,19.6,66.07,0.04,0.0,0.0,1.67,0.15,0.01,0.0,2.73,2.96,8.0,2048.0
in.rhodo,43.27,402.75,0.77,0.0,7.97,0.0,0.02,0.0,0.0,0.1,0.0,0.01,0.01,21.84,59.54,0.05,0.0,0.0,1.5,0.31,0.02,0.0,3.25,4.62,8.0,2048.0
in.rhodo,44.4,396.81,1.29,0.0,4.02,0.0,0.02,0.0,0.0,0.08,0.0,0.01,0.02,19.77,69.8,0.0,0.0,0.0,0.62,0.23,0.02,0.0,2.78,1.33,8.0,2048.0
in.rhodo,49.8,636.14,1.61,0.0,5.1,0.0,0.04,0.0,0.0,0.1,0.0,0.02,0.33,21.34,46.98,0.0,0.0,0.0,1.29,0.39,0.02,0.0,1.6,21.17,16.0,2048.0
in.rhodo,51.2,508.94,2.03,0.0,6.44,0.0,0.05,0.0,0.0,0.08,0.0,0.01,0.08,23.22,43.27,0.0,0.0,0.0,1.26,0.25,0.02,0.0,1.8,21.49,16.0,2048.0
in.rhodo,47.5,434.99,2.54,0.0,3.56,0.0,0.01,0.0,0.0,0.07,0.0,0.01,0.11,20.01,51.17,0.0,0.0,0.0,1.16,0.15,0.02,0.0,1.96,19.23,16.0,2048.0
in.rhodo,56.59,819.97,4.53,0.0,1.9,0.0,0.18,0.13,0.0,0.2,0.0,0.07,1.58,22.99,31.56,0.06,0.0,0.0,7.5,0.48,0.02,0.0,0.9,27.88,32.0,2048.0
in.rhodo,58.48,679.33,5.45,0.0,2.73,0.0,0.06,0.0,0.0,0.14,0.0,0.05,1.08,27.77,31.44,0.01,0.0,0.0,4.31,0.64,0.02,0.0,1.21,25.08,32.0,2048.0
in.rhodo,51.1,517.25,8.56,0.0,2.25,0.0,0.01,0.08,0.0,0.14,0.0,0.03,0.25,20.15,36.7,0.01,0.0,0.0,2.3,0.04,0.03,0.0,0.94,28.51,32.0,2048.0
in.rhodo,59.22,1076.68,13.49,0.0,0.94,0.0,0.16,0.0,0.0,0.24,0.0,0.04,2.08,26.56,30.17,0.01,0.0,0.0,2.14,0.89,0.03,0.0,0.83,22.42,64.0,2048.0
in.rhodo,62.69,898.84,16.18,0.0,1.14,0.0,0.01,0.0,0.0,0.05,0.0,0.18,3.14,30.3,25.73,0.01,0.0,0.0,1.87,0.68,0.03,0.0,0.76,19.92,64.0,2048.0
in.rhodo,55.2,704.93,20.35,0.0,1.42,0.0,0.01,0.0,0.0,0.03,0.0,0.07,0.8,20.14,25.69,0.01,0.0,0.0,1.21,0.11,0.04,0.0,0.36,29.76,64.0,2048.0
in.rhodo-double,0.09,0.09,66.08,0.0,0.0,0.0,0.08,0.01,0.01,0.05,0.0,24.67,1.35,4.57,0.0,0.54,1.84,0.01,0.74,0.03,0.0,0.0,0.0,0.0,1.0,32.0
in.rhodo-double,24.14,31.17,3.9,0.0,5.29,0.0,0.0,0.44,0.0,0.01,0.0,0.08,0.0,42.81,26.4,0.52,0.0,0.0,1.22,0.0,0.01,0.0,2.36,16.96,2.0,32.0
in.rhodo-double,49.12,72.64,1.77,0.0,2.25,0.0,0.14,0.03,0.0,0.0,0.0,0.13,0.39,34.67,44.73,0.0,0.0,0.0,1.76,0.15,0.02,0.0,1.85,12.11,4.0,32.0
in.rhodo-double,63.6,110.78,2.74,0.0,0.46,0.0,0.35,0.0,0.0,0.0,0.0,0.01,0.01,16.78,54.4,0.01,0.0,0.0,5.57,0.0,0.03,0.0,1.83,17.81,8.0,32.0
in.rhodo-double,69.32,145.74,7.24,0.0,0.65,0.0,0.01,0.11,0.0,0.0,0.0,0.03,0.02,16.24,39.1,0.01,0.0,0.0,5.81,0.01,0.06,0.0,0.37,30.34,16.0,32.0
in.rhodo-double,84.33,365.79,10.3,0.0,0.44,0.0,0.23,0.0,0.0,0.0,0.0,0.04,1.31,29.39,21.71,0.01,0.0,0.0,9.28,0.03,0.05,0.0,1.47,25.72,32.0,32.0
in.rhodo-double,88.83,663.3,21.94,0.0,0.53,0.0,0.37,0.0,0.0,0.37,0.0,0.22,0.53,28.09,12.58,0.01,0.0,0.0,6.3,0.37,0.06,0.0,0.61,28.02,64.0,32.0
in.rhodo-double,0.06,0.08,62.33,0.0,0.0,0.0,0.14,0.01,0.01,0.04,0.01,27.82,3.38,2.97,0.0,0.25,2.04,0.69,0.23,0.06,0.0,0.0,0.0,0.0,1.0,256.0
in.rhodo-double,14.0,22.17,5.04,0.0,17.06,0.0,0.12,0.18,0.0,0.04,0.0,0.01,0.18,34.12,28.68,0.01,0.0,0.0,2.72,0.75,0.01,0.0,1.21,9.88,2.0,256.0
in.rhodo-double,45.0,84.19,1.44,0.0,8.46,0.0,0.0,0.03,0.0,0.19,0.0,0.23,0.01,27.68,43.95,0.0,0.0,0.0,5.33,0.27,0.01,0.0,1.47,10.95,4.0,256.0
in.rhodo-double,61.98,145.27,2.15,0.0,1.46,0.0,0.13,0.14,0.0,0.01,0.0,0.03,0.12,31.06,42.49,0.28,0.0,0.0,5.3,0.31,0.01,0.0,1.99,14.53,8.0,256.0
in.rhodo-double,62.78,145.57,7.23,0.0,0.97,0.0,0.01,0.0,0.0,0.63,0.0,0.29,0.57,24.35,35.05,0.01,0.0,0.0,9.12,0.28,0.02,0.0,1.87,19.59,16.0,256.0
in.rhodo-double,76.41,283.05,13.31,0.0,0.53,0.0,0.01,1.94,0.0,0.13,0.0,0.36,1.06,29.65,18.32,2.24,0.0,0.0,17.71,0.48,0.02,0.0,2.03,12.21,32.0,256.0
in.rhodo-double,79.88,413.31,35.95,0.0,0.51,0.0,0.81,0.38,0.0,0.01,0.0,0.36,3.76,22.52,13.49,0.32,0.0,0.0,7.38,1.24,0.03,0.0,1.07,12.19,64.0,256.0
in.rhodo-single,0.11,0.08,68.04,0.0,0.0,0.0,0.08,0.01,0.0,0.05,0.0,23.02,1.41,5.09,0.0,0.68,1.37,0.02,0.2,0.03,0.0,0.0,0.0,0.0,1.0,32.0
in.rhodo-single,24.84,23.99,4.89,0.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,23.4,54.95,0.01,0.0,0.0,4.51,0.0,0.01,0.0,2.95,4.33,2.0,32.0
in.rhodo-single,57.35,68.88,1.81,0.0,1.63,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,13.67,55.09,0.0,0.0,0.0,1.31,0.0,0.02,0.0,4.06,22.34,4.0,32.0
in.rhodo-single,68.53,106.8,2.99,0.0,0.47,0.0,0.0,0.0,0.0,0.16,0.0,0.32,0.01,23.59,46.28,0.01,0.0,0.0,8.62,0.07,0.03,0.0,1.03,16.41,8.0,32.0
in.rhodo-single,78.79,173.13,5.95,0.0,0.6,0.0,0.01,0.19,0.0,0.0,0.0,0.03,0.01,35.42,23.92,0.01,0.0,0.0,12.59,0.15,0.04,0.0,0.38,20.71,16.0,32.0
in.rhodo-single,84.94,303.0,12.17,0.0,0.55,0.0,0.01,0.13,0.0,0.42,0.0,0.04,1.43,19.66,19.59,0.02,0.0,0.0,13.26,0.66,0.05,0.0,2.11,29.91,32.0,32.0
in.rhodo-single,88.49,513.86,28.39,0.0,0.65,0.0,0.01,0.01,0.0,0.74,0.0,0.11,4.91,24.57,12.31,0.02,0.0,0.0,2.67,0.98,0.07,0.0,0.62,23.94,64.0,32.0
in.rhodo-single,0.08,0.09,66.76,0.0,0.0,0.0,0.13,0.02,0.01,0.06,0.0,24.68,2.99,2.45,0.0,0.22,1.83,0.59,0.21,0.06,0.0,0.0,0.0,0.0,1.0,256.0
in.rhodo-single,14.78,17.41,6.82,0.0,15.86,0.0,0.16,0.0,0.0,0.17,0.0,0.1,0.37,33.15,26.21,0.01,0.0,0.0,5.91,1.17,0.01,0.0,1.62,8.44,2.0,256.0
in.rhodo-single,40.69,53.55,2.22,0.0,6.61,0.0,0.31,0.0,0.0,0.46,0.0,0.07,0.07,31.47,44.13,0.01,0.0,0.0,3.63,0.5,0.01,0.0,2.75,7.76,4.0,256.0
in.rhodo-single,56.3,87.29,3.46,0.0,1.22,0.0,0.01,0.0,0.0,0.01,0.0,0.03,0.02,30.94,45.76,0.01,0.0,0.0,6.76,0.14,0.01,0.0,2.23,9.4,8.0,256.0
in.rhodo-single,64.91,121.65,8.53,0.0,0.91,0.0,0.38,0.12,0.0,0.01,0.0,0.24,0.82,25.81,30.62,0.01,0.0,0.0,12.26,0.89,0.02,0.0,2.02,17.38,16.0,256.0
in.rhodo-single,78.71,246.2,14.95,0.0,0.47,0.0,0.29,0.01,0.0,1.23,0.0,0.06,9.33,16.66,17.7,0.02,0.0,0.0,21.48,1.51,0.02,0.0,1.67,14.61,32.0,256.0
in.rhodo-single,85.34,459.8,31.83,0.0,0.43,0.0,1.02,0.7,0.0,0.45,0.0,0.47,3.57,24.85,10.61,0.73,0.0,0.0,9.63,1.06,0.03,0.0,0.97,13.64,64.0,256.0
